ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
0000000000017403344,"Habitación en Badalona, España",Habitación,Habitación,Barcelona,,Badalona,,,,4.74,156,1,1,1,
0000000000001986412,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,4.83,553,2,1,3,4
0000000000049914149,"Habitación privada en: apartamento con servicios en Barcelona, España",Habitación privada en,Habitación,Barcelona,,Barcelona,,104,104,,,1,1,2,3
0000000000052706030,"Habitación en Badalona, España",Habitación,Habitación,Barcelona,,Badalona,,110,110,,,1,1,1,
0000000000053945157,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,362,,362,4.25,59,1,1,3,4
1136424934553567110,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,85,85,85,,,1,1,,
0000000000042888138,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,,2,2,2,3
1109428241256583789,"Habitación en El Prat de Llobregat, España",Habitación,Habitación,Barcelona,,El Prat de Llobregat,,,,,2,1,1,,
1129713099855917027,"Habitación en Sabadell, España",Habitación,Habitación,Barcelona,,Sabadell,49,49,49,,1,1,1,1,
1112127585532094325,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,125,125,125,5.0,3,1,1,1,
0588058923923262711,"Barco en Barcelona, España",Barco,Barco,Barcelona,,Barcelona,,,,4.81,84,1,0,1,4
0000000000040665168,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.79,136,1,1,1,
0850809204411871358,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,322,290,306,4.68,25,5,5,5,8
0000000000001987048,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,320,,320,4.72,420,1,1,2,3
0000000000002849918,"Habitación en Hospitalet de Llobregat, España",Habitación,Habitación,Barcelona,,Hospitalet de Llobregat,,42,42,,,1,1,1,
0633241797405559904,"Habitación en Santa Coloma de Gramenet, España",Habitación,Habitación,Barcelona,,Santa Coloma de Gramenet,50,50,50,4.63,41,2,1,1,
0000000000021813230,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,299,299,4.51,196,4,2,7,7
1135368080727664007,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,,,,1,1,1,1,2
0939525192172727802,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,536,370,453,4.5,14,3,1,4,5
0698401611917558035,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,,,,4.54,28,1,1,1,
1135656981793494182,"Habitación en Barcelona, España",Habitación,Habitación,Barcelona,,Barcelona,100,100,100,,,1,1,,
0000000000042151836,"Alojamiento entero: piso en Barcelona, España",Alojamiento entero,Alojamiento,Barcelona,,Barcelona,,577,577,,,2,1,3,5
