,ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos,Distancia a PI
0,3586833,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.42813,-3.64537",Madrid,26.0,,26.0,,,1.0,1,1.0,,5.079
1,1138900553049093343,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.409064,-3.728734",Madrid,54.0,54.0,54.0,,,1.0,1,1.0,,2.306
2,813055075285618470,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.363582,-3.589946",Madrid,,96.0,96.0,4.8,15.0,1.0,1,2.0,2.0,11.302
3,53659002,"Alojamiento entero: casa de invitados en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3881,-3.7093",Madrid,75.0,75.0,75.0,,,1.0,1,2.0,4.0,3.242
4,1052592916515443766,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4108,-3.7358",Madrid,30.0,30.0,30.0,,,1.0,1,1.0,,2.815
5,569433254237504372,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4339,-3.7013",Madrid,49.0,49.0,49.0,4.8,50.0,1.0,1,1.0,,1.897
6,38623082,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.43303,-3.71064",Madrid,140.0,140.0,140.0,,,2.0,1,2.0,4.0,1.889
7,1106005671443436276,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3838,-3.708",Madrid,33.0,33.0,33.0,,,1.0,1,,,3.703
8,618720635614002432,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.49987,-3.69068",Madrid,75.0,75.0,75.0,4.83,54.0,1.0,1,1.0,,9.287
9,38322701,"Alojamiento entero: vivienda en Mejorada del Campo, España",Alojamiento entero,Alojamiento,Madrid,"40.40102,-3.4781",Mejorada del Campo,180.0,180.0,180.0,5.0,7.0,5.0,5,5.0,7.0,19.169
10,1015746916573709546,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.45708,-3.58668",Madrid,150.0,180.0,165.0,4.91,11.0,3.0,1,4.0,7.0,10.851
