ID,Vistas Sí/No,Vistas,Primera línea,Wifi,Aire acondicionado,Aparcamiento Sí/No,Aparcamiento
00000000000000178456,1,Vistas al canal,1,1,0,1,Gratuito
00000000000000238799,1,Vistas a la playa,1,1,1,1,Gratuito
00000000000000291211,0,No disponible,0,1,1,1,Gratuito
00000000000000328541,0,No disponible,0,1,1,0,No disponible
00000000000000441930,0,No disponible,1,1,0,1,Gratuito
00000000000000441953,0,No disponible,1,1,1,1,Gratuito
00000000000000493832,0,No disponible,0,1,0,1,Gratuito
00000000000000495837,0,No disponible,0,1,0,1,Gratuito
00000000000000503803,0,No disponible,0,1,1,1,De pago
00000000000000603924,1,Vistas a la playa,1,1,1,1,Gratuito
00000000000000612483,0,No disponible,0,1,0,1,De pago
00000000000000744388,0,No disponible,0,1,0,1,Gratuito
00000000000000773049,1,Vistas a la playa,1,1,1,1,Gratuito
00000000000000781232,1,Vistas a la playa,1,1,1,1,Gratuito
00000000000000899914,0,No disponible,1,1,1,1,De pago
00000000000000906734,0,No disponible,0,0,0,0,No disponible
00000000000000931856,0,No disponible,0,1,1,1,De pago
00000000000000940382,1,Vistas al mar,1,1,0,1,Gratuito
00000000000000941911,1,Vistas al canal,0,1,1,1,Gratuito
00000000000001040457,0,No disponible,1,1,1,1,Gratuito
00000000000001047216,0,No disponible,1,1,1,1,Gratuito
00000000000001080054,1,Vistas a la playa,0,1,1,1,Gratuito
00000000000001176182,1,Vistas a la playa,1,1,1,1,De pago
00000000000001178953,1,Vistas a la playa,1,1,1,1,De pago
00000000000001179067,1,Vistas a la playa,1,1,1,1,De pago
00000000000001185288,1,Vistas a la playa,1,1,1,1,Gratuito
00000000000001204912,1,Vistas a la montaña,1,1,0,1,Gratuito
00000000000001215079,0,No disponible,1,1,0,1,Gratuito
00000000000001269740,0,No disponible,0,1,1,1,Gratuito
00000000000001391841,0,No disponible,0,1,1,1,Gratuito
00000000000001510808,0,No disponible,0,1,0,1,Gratuito
00000000000001520520,1,Vistas a la montaña,0,1,1,1,Gratuito
00000000000001547705,1,Vistas a la montaña,0,1,1,1,Gratuito
00000000000001574730,0,No disponible,1,1,1,1,Gratuito
00000000000001575793,0,No disponible,0,1,0,1,Gratuito
00000000000001620619,1,Vistas al puerto,0,1,1,1,Gratuito
00000000000001681937,0,No disponible,0,1,1,1,Gratuito
00000000000001682362,0,No disponible,0,1,1,1,Gratuito
00000000000001721038,0,No disponible,0,1,1,1,Gratuito
00000000000001731292,1,Vistas a la montaña,0,0,0,1,Gratuito
00000000000001842456,0,No disponible,1,1,1,1,Gratuito
00000000000001873788,0,No disponible,0,1,1,1,Gratuito
00000000000001879209,0,No disponible,0,1,1,1,Gratuito
00000000000001879579,0,No disponible,0,1,1,1,Gratuito
00000000000001997237,0,No disponible,1,1,1,1,Gratuito
00000000000002220591,0,No disponible,0,1,1,1,De pago
00000000000002239956,0,No disponible,0,1,1,0,No disponible
00000000000002266269,0,No disponible,0,0,0,1,Gratuito
00000000000002277861,0,No disponible,1,1,1,0,No disponible
00000000000002290707,0,No disponible,0,1,1,1,De pago
00000000000002309464,0,No disponible,0,1,0,1,De pago
00000000000002312412,0,No disponible,1,1,1,1,Gratuito
00000000000002313991,0,No disponible,1,1,1,1,Gratuito
00000000000002323961,1,Vistas a la playa,1,0,1,1,Gratuito
00000000000002388289,0,No disponible,1,1,1,1,Gratuito
00000000000002418224,0,No disponible,1,0,1,1,Gratuito
00000000000002431240,0,No disponible,1,1,1,1,Gratuito
00000000000002438971,1,Vistas al puerto,0,0,1,1,Gratuito
00000000000002510624,0,No disponible,0,1,1,1,Gratuito
00000000000002604925,0,No disponible,0,1,1,1,Gratuito
00000000000002633668,0,No disponible,0,1,0,0,No disponible
00000000000002640354,0,No disponible,1,1,1,1,Gratuito
00000000000002689512,0,No disponible,1,1,1,1,Gratuito
00000000000002698388,0,No disponible,0,1,1,0,No disponible
00000000000002820570,0,No disponible,0,1,1,1,Gratuito
00000000000002886510,1,Vistas a la montaña,0,1,1,1,Gratuito
00000000000002895056,0,No disponible,0,1,1,1,Gratuito
00000000000002921138,0,No disponible,0,1,0,1,Gratuito
00000000000002926875,0,No disponible,0,1,0,1,Gratuito
00000000000002946533,0,No disponible,0,1,1,1,Gratuito
00000000000002966884,0,No disponible,0,1,1,1,De pago
00000000000002967289,0,No disponible,0,1,1,1,De pago
00000000000002967609,0,No disponible,0,1,1,1,De pago
00000000000002971625,0,No disponible,1,1,0,1,Gratuito
