,ID,Tipo de habitación,Ciudad,Precio por noche Agosto,Precio por noche Octubre,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
0,597803129034496102,"Caravana/autocaravana en Palma, España",Mallorca,No disponible en Agosto,65 €,"5,0",4 evaluaciones,1 dormitorio,0 baños,2 camas,2 viajeros
1,14410604,"Alojamiento entero: vivienda en Palma, España",Mallorca,No disponible en Agosto,217 €,"4,89",44 evaluaciones,3 dormitorios,5 baños,3 camas,5 viajeros
2,40630146,"Habitación en Palma, España",Mallorca,106,100 €,"4,83",24 evaluaciones,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
3,34015728,"Alojamiento entero: piso en Illes Balears, España",Mallorca,No disponible en Agosto,93 €,"4,80",15 evaluaciones,1 dormitorio,1 baño,2 camas,3 viajeros
4,967142928539935593,"Alojamiento entero: piso en Palma, España",Mallorca,No disponible en Agosto,No disponible en Octubre,Sin valoraciones,1 evaluación,1 dormitorio,1 baño,No especificado,2 viajeros
5,569887893897108746,"Alojamiento entero: piso en Can Picafort, España",Mallorca,No disponible en Agosto,98 €,Sin valoraciones,1 evaluación,2 dormitorios,1 baño,4 camas,5 viajeros
6,822981985426892644,"Alojamiento entero: villa en Provensals, España",Mallorca,No disponible en Agosto,No disponible en Octubre,"4,43",7 evaluaciones,4 dormitorios,5 baños,1 cama,6 viajeros
7,1047216,"Alojamiento entero: adosado en Can Picafort, España",Mallorca,233,102 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,3 camas,4 viajeros
8,7716138,"Alojamiento entero: apartamento con servicios en Alcúdia, España",Mallorca,No disponible en Agosto,90 €,"4,58",95 evaluaciones,2 dormitorios,2 baños,5 camas,4 viajeros
9,1037505297649838255,"Habitación en Palma, España",Mallorca,150,100 €,Sin evaluaciones,Política de Cookies,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
10,19543733,"Alojamiento entero: villa en Cala Rajada, España",Mallorca,No disponible en Agosto,No disponible en Octubre,Sin evaluaciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,5 dormitorios,5 baños,7 camas,0 viajeros
11,43918133,"Alojamiento entero: piso en Palma, España",Mallorca,No disponible en Agosto,No disponible en Octubre,"4,76",90 evaluaciones,1 dormitorio,3 baños,3 camas,5 viajeros
12,5198082,"Alojamiento entero: vivienda en Alcúdia, España",Mallorca,No disponible en Agosto,190 €,"4,73",11 evaluaciones,4 dormitorios,2 baños,6 camas,8 viajeros
13,741774653497736360,"Caravana/autocaravana en Es Pil·larí, España",Mallorca,No disponible en Agosto,115 €,"4,55",29 evaluaciones,2 dormitorios,1 baño,4 camas,6 viajeros
14,52547885,"Alojamiento entero: vivienda en Can Picafort, España",Mallorca,No disponible en Agosto,109 €,"4,0",3 evaluaciones,3 dormitorios,2 baños,6 camas,6 viajeros
15,50066792,"Alojamiento entero: chalet en Can Picafort, España",Mallorca,No disponible en Agosto,No disponible en Octubre,Sin valoraciones,1 evaluación,3 dormitorios,2 baños,5 camas,6 viajeros
16,41919614,"Habitación en hotel boutique en Cala Ratjada, España",Mallorca,No disponible en Agosto,290 €,Sin valoraciones,1 evaluación,1 dormitorio,1 baño privado,2 camas,2 viajeros
17,1035608761615328231,"Alojamiento entero: piso en Rotes Velles, España",Mallorca,No disponible en Agosto,No disponible en Octubre,Sin evaluaciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,4 viajeros
18,889800609536227885,"Alojamiento entero: apto. residencial en Port d'Alcúdia, España",Mallorca,No disponible en Agosto,No disponible en Octubre,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,3 camas,4 viajeros
19,48050460,"Alojamiento entero: villa en Palma, España",Mallorca,1.313,769 €,"4,34",32 evaluaciones,6 dormitorios,4 baños,2 camas,2 viajeros
20,808469052466888861,"Habitación en Son Servera, España",Mallorca,500,500 €,Sin evaluaciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,· baño privado en el alojamiento,2 camas,No especificado
21,26856143,"Alojamiento entero: piso en Palmanova , España",Mallorca,No disponible en Agosto,64 €,"4,39",636 evaluaciones,1 dormitorio,1 baño,3 camas,3 viajeros
22,874127694942614949,"Alojamiento entero: piso en Alcúdia, España",Mallorca,No disponible en Agosto,188 €,Sin evaluaciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,3 dormitorios,2 baños,5 camas,6 viajeros
23,47367647,"Alojamiento entero: villa en Cala Blava-Llucmajor, España",Mallorca,994,No disponible en Octubre,"4,32",31 evaluaciones,6 dormitorios,4 baños,8 camas,2 viajeros
24,23340063,"Alojamiento entero: piso en Palma de Mallorca, España",Mallorca,No disponible en Agosto,296 €,"4,92",59 evaluaciones,1 dormitorio,1 baño,1 cama,4 viajeros
25,45114092,"Alojamiento entero: piso en Palma, España",Mallorca,165,88 €,"4,78",18 evaluaciones,1 dormitorio,1 baño,2 camas,3 viajeros
26,2388289,"Alojamiento entero: piso en Can Picafort, España",Mallorca,No disponible en Agosto,No disponible en Octubre,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,3 camas,3 viajeros
27,1129702010494162000,"Alojamiento entero: casa de invitados en Palma, España",Mallorca,No disponible en Agosto,150 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,4 viajeros
28,15908473,"Alojamiento entero: villa en Cala Blava, España",Mallorca,No disponible en Agosto,No disponible en Octubre,"4,65",54 evaluaciones,4 dormitorios,5 baños,7 camas,8 viajeros
29,36519290,"Alojamiento entero: piso en Son Servera, España",Mallorca,100,155 €,"4,79",38 evaluaciones,1 dormitorio,0 baños,3 camas,4 viajeros
30,43523939,"Alojamiento entero: piso en Palma, España",Mallorca,No disponible en Agosto,No disponible en Octubre,"4,40",25 evaluaciones,4 dormitorios,2 baños,2 camas,5 viajeros
31,43910925,"Alojamiento entero: piso en Palma de Mallorca, España",Mallorca,No disponible en Agosto,No disponible en Octubre,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,5 baños,3 camas,4 viajeros
32,1051214696909134431,"Habitación en Palma, España",Mallorca,90,70 €,Sin evaluaciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,Sin baños,1 cama,No especificado
33,5678550,"Alojamiento entero: piso en C'an Picafort , España",Mallorca,No disponible en Agosto,140 €,"4,92",61 evaluaciones,3 dormitorios,2 baños,4 camas,6 viajeros
34,748596706896958028,"Habitación en Palma, España",Mallorca,No disponible en Agosto,40 €,"4,06",16 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
35,45987716,"Alojamiento entero: apartamento con servicios en Magaluf, España",Mallorca,No disponible en Agosto,No disponible en Octubre,"4,50",12 evaluaciones,2 dormitorios,2 baños,6 camas,4 viajeros
