,ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
0,970291990719745713,"Alojamiento entero: piso en Oviedo, España",Asturias,,113 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,3 dormitorios,2 baños,4 camas,8 viajeros
1,942548062721774719,"Alojamiento entero: piso en Gijón, España",Asturias,,82 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,5 baños,2 camas,4 viajeros
2,870314109572136088,"Alojamiento entero: piso en Gijón, España",Asturias,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,1 evaluación,2 dormitorios,1 baño,4 camas,4 viajeros
3,2612535,"Alojamiento entero: piso en Gijón, España",Asturias,,75 €,No disponible en Agosto,"4,27",81 evaluaciones,3 dormitorios,1 baño,3 camas,4 viajeros
4,1068269463661698747,"Alojamiento entero: piso en Xivares, España",Asturias,,75 €,No disponible en Agosto,Sin valoraciones,2 evaluaciones,1 dormitorio,1 baño,No especificado,4 viajeros
5,638312618652319673,"Alojamiento entero: piso en Villaviciosa, España",Asturias,,90 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,3 camas,4 viajeros
6,1093357909504048158,"Alojamiento entero: piso en Oviedo, España",Asturias,,71 €,108 €,Sin valoraciones,1 evaluación,1 dormitorio,1 baño,1 cama,4 viajeros
7,31712154,"Alojamiento entero: piso en Gijón, España",Asturias,,No disponible en Octubre,175 €,"4,64",76 evaluaciones,2 dormitorios,1 baño,1 cama,4 viajeros
8,42293440,"Alojamiento entero: casa rural en El Pradiquín, España",Asturias,,110 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,5 baños,3 camas,4 viajeros
9,990475883858846733,"Habitación en Gijón, España",Asturias,,43 €,No disponible en Agosto,"4,60",10 evaluaciones,1 dormitorio,· baño privado en la habitación,2 camas,No especificado
10,1053054494400256201,"Alojamiento entero: piso en Oviedo, España",Asturias,,50 €,No disponible en Agosto,"4,17",6 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
11,50859290,"Alojamiento entero: piso en Gijón, España",Asturias,,96 €,No disponible en Agosto,"4,75",16 evaluaciones,3 dormitorios,2 baños,5 camas,6 viajeros
12,1117913314795690350,"Alojamiento entero: piso en Gijón, España",Asturias,,57 €,No disponible en Agosto,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,3 dormitorios,1 baño,4 camas,6 viajeros
13,602237136783911473,"Alojamiento entero: piso en Gijón, España",Asturias,,155 €,220 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,3 camas,4 viajeros
14,1075862665732287435,"Alojamiento entero: piso en Oviedo, España",Asturias,,69 €,119 €,"5,0",4 evaluaciones,1 dormitorio,1 baño,1 cama,3 viajeros
15,1050722557715613659,"Alojamiento entero: piso en Gijón, España",Asturias,,No disponible en Octubre,174 €,"5,0",5 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
16,832606198985846218,"Alojamiento entero: vivienda en Gijón, España",Asturias,,No disponible en Octubre,No disponible en Agosto,"4,81",16 evaluaciones,3 dormitorios,2 baños,4 camas,6 viajeros
17,53495435,"Alojamiento entero: piso en Oviedo, España",Asturias,,54 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,3 camas,4 viajeros
18,2322671,"Alojamiento entero: piso en Oviedo, España",Asturias,,55 €,No disponible en Agosto,"4,66",99 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
19,20130888,"Habitación en Gijón, España",Asturias,,49 €,75 €,"4,70",87 evaluaciones,2 dormitorios,baño compartido,1 cama,No especificado
20,675818758001363305,"Alojamiento entero: casa rural en Luces, España",Asturias,,90 €,No disponible en Agosto,Sin valoraciones,Política de Cookies,1 dormitorio,1 baño,No especificado,4 viajeros
21,1114992460426163951,"Alojamiento entero: piso en Oviedo, España",Asturias,,85 €,No disponible en Agosto,Nuevo,2 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
22,629623620934241951,"Alojamiento entero: piso en Gijón, España",Asturias,,131 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,3 dormitorios,2 baños,3 camas,5 viajeros
23,1149808910702577243,"Habitación en Gijón, España",Asturias,,53 €,53 €,Nuevo,Política de Cookies,1 dormitorio,baño compartido,1 cama,No especificado
24,1106949808310583587,"Alojamiento entero: piso en Gijón, España",Asturias,,69 €,No disponible en Agosto,"5,0",3 evaluaciones,2 dormitorios,1 baño,4 camas,5 viajeros
25,883914572920302510,"Alojamiento entero: chalet en Asturias, España",Asturias,,150 €,No disponible en Agosto,"4,14",7 evaluaciones,3 dormitorios,3 baños,5 camas,6 viajeros
26,980378517113034569,"Habitación en Oviedo, España",Asturias,,30 €,30 €,Sin evaluaciones,Política de Cookies,1 dormitorio,Sin baños,2 camas,No especificado
27,24563729,"Alojamiento entero: piso en Oviedo, España",Asturias,,140 €,190 €,"4,73",232 evaluaciones,2 dormitorios,1 baño,3 camas,5 viajeros
28,30316932,"Alojamiento entero: piso en Oviedo, España",Asturias,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
29,949329320503512824,"Alojamiento entero: piso en Gijón, España",Asturias,,199 €,No disponible en Agosto,"4,80",5 evaluaciones,4 dormitorios,2 baños,4 camas,8 viajeros
30,46846891,"Alojamiento entero: vivienda en Oviedo, España",Asturias,,185 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,6 dormitorios,5 baños,7 camas,0 viajeros
31,641709467740032474,"Alojamiento entero: casa rural en Castañedo del Monte, España",Asturias,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,5 baños,No especificado,4 viajeros
32,6520863,"Alojamiento entero: piso en Gijón, España",Asturias,,88 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,2 viajeros
33,649974130982021834,"Alojamiento entero: piso en Oviedo, España",Asturias,,60 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,4 viajeros
34,27537925,"Alojamiento entero: loft en Gijón, España",Asturias,,No disponible en Octubre,No disponible en Agosto,"4,86",141 evaluaciones,2 dormitorios,1 baño,2 camas,4 viajeros
35,1062331086279469583,"Alojamiento entero: piso en El Berrón, España",Asturias,,No disponible en Octubre,No disponible en Agosto,Nuevo,1 evaluación,2 dormitorios,2 baños,2 camas,4 viajeros
36,846125994422846981,"Alojamiento entero: piso en Villaviciosa, España",Asturias,,78 €,No disponible en Agosto,"4,60",10 evaluaciones,1 dormitorio,2 baños,4 camas,5 viajeros
