ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
00970291990719745713,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,113,113,,,3,1,4,8
00942548062721774719,Alojamiento,Alojamiento,Alojamiento,Asturias,,Asturias,,82,82,,,2,1,2,4
00870314109572136088,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5402,-5.6488",Asturias,,,,,1,2,1,4,4
00000000000002612535,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.54218,-5.66823",Asturias,,75,75,4.27,81,3,1,3,4
01068269463661698747,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.568892,-5.72747",Asturias,,75,75,,2,1,1,,4
00638312618652319673,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.481,-5.4375",Asturias,,90,90,,,2,1,3,4
01093357909504048158,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3684,-5.8461",Asturias,108,71,90,,1,1,1,1,4
00000000000031712154,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53281,-5.6672",Asturias,175,,175,4.64,76,2,1,1,4
00000000000042293440,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.25713,-5.86473",Asturias,,110,110,,,2,1,3,4
00990475883858846733,Habitación,Habitación,Habitación,Asturias,"43.530766,-5.659302",Asturias,,43,43,4.6,10,1,1,2,
01053054494400256201,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.3746,-5.8528",Asturias,,50,50,4.17,6,1,1,1,2
00000000000050859290,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.53762,-5.65225",Asturias,,96,96,4.75,16,3,1,5,6
01117913314795690350,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5407,-5.7037",Asturias,,57,57,,,3,1,4,6
00602237136783911473,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5407,-5.6575",Asturias,220,155,188,,,1,1,3,4
01075862665732287435,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.368103,-5.85386",Asturias,119,69,94,5.0,4,1,1,1,3
01050722557715613659,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.5408,-5.6561",Asturias,174,,174,5.0,5,1,1,1,2
00832606198985846218,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.51865,-5.66447",Asturias,,,,4.81,16,3,1,4,6
00000000000053495435,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.36344,-5.83299",Asturias,,54,54,,,1,1,3,4
00000000000002322671,Alojamiento,Alojamiento,Alojamiento,Asturias,"43.37869,-5.82981",Asturias,,55,55,4.66,99,1,1,1,2
00000000000020130888,Habitación,Habitación,Habitación,Asturias,"43.5428,-5.6661",Asturias,75,49,62,4.7,87,2,1,1,
