Unnamed: 0,ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
0,17403344,"Habitación en Badalona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,74",156 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1,1986412,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,83",553 evaluaciones,2 dormitorios,1 baño,3 camas,4 viajeros
2,49914149,"Habitación privada en: apartamento con servicios en Barcelona, España",Barcelona,,104 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño privado,2 camas,3 viajeros
3,52706030,"Habitación en Badalona, España",Barcelona,,110 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
4,53945157,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,362 €,"4,25",59 evaluaciones,1 dormitorio,1 baño,3 camas,4 viajeros
5,1136424934553567110,"Habitación en Barcelona, España",Barcelona,,85 €,85 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
6,42888138,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,2 dormitorios,2 baños,2 camas,3 viajeros
7,1109428241256583789,"Habitación en El Prat de Llobregat, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Nuevo,2 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
8,1129713099855917027,"Habitación en Sabadell, España",Barcelona,,49 €,49 €,Nuevo,1 evaluación,1 dormitorio,baño compartido,1 cama,No especificado
9,1112127585532094325,"Habitación en Barcelona, España",Barcelona,,125 €,125 €,"5,0",3 evaluaciones,1 dormitorio,· baño privado en el alojamiento,1 cama,No especificado
10,588058923923262711,"Barco en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,81",84 evaluaciones,1 dormitorio,0 baños,1 cama,4 viajeros
11,40665168,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,79",136 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
12,850809204411871358,"Alojamiento entero: piso en Barcelona, España",Barcelona,,290 €,322 €,"4,68",25 evaluaciones,5 dormitorios,5 baños,5 camas,8 viajeros
13,1987048,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,320 €,"4,72",420 evaluaciones,1 dormitorio,1 baño,2 camas,3 viajeros
14,2849918,"Habitación en Hospitalet de Llobregat, España",Barcelona,,42 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
15,633241797405559904,"Habitación en Santa Coloma de Gramenet, España",Barcelona,,50 €,50 €,"4,63",41 evaluaciones,2 dormitorios,baño compartido,1 cama,No especificado
16,21813230,"Alojamiento entero: piso en Barcelona, España",Barcelona,,299 €,No disponible en Agosto,"4,51",196 evaluaciones,4 dormitorios,2 baños,7 camas,7 viajeros
17,1135368080727664007,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Nuevo,1 evaluación,1 dormitorio,1 baño,1 cama,2 viajeros
18,939525192172727802,"Alojamiento entero: piso en Barcelona, España",Barcelona,,370 €,536 €,"4,50",14 evaluaciones,3 dormitorios,1 baño,4 camas,5 viajeros
19,698401611917558035,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,54",28 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
20,1135656981793494182,"Habitación en Barcelona, España",Barcelona,,100 €,100 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
21,42151836,"Alojamiento entero: piso en Barcelona, España",Barcelona,,577 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,2 dormitorios,1 baño,3 camas,5 viajeros
22,843487197621822883,"Habitación en Barcelona, España",Barcelona,,150 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
23,45966793,"Alojamiento entero: piso en Barcelona, España",Barcelona,,185 €,200 €,"4,72",60 evaluaciones,3 dormitorios,5 baños,4 camas,6 viajeros
24,965841203409141231,"Habitación en Badalona, España",Barcelona,,60 €,60 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
25,3535864,"Alojamiento entero: piso en Barcelona, España",Barcelona,,650 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,3 camas,5 viajeros
26,24137919,,Barcelona,,No disponible en Octubre,92 €,Sin valoraciones,Sin valoraciones,,,,
27,1005929017686590019,"Habitación en Barcelona, España",Barcelona,,50 €,50 €,"4,70",10 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
28,17151410,"Alojamiento entero: piso en Barcelona, España",Barcelona,,257 €,319 €,"4,77",202 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
29,1104945706027523112,"Habitación en L'Hospitalet de Llobregat, España",Barcelona,,37 €,No disponible en Agosto,"4,86",14 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
30,3879178,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,23",134 evaluaciones,1 dormitorio,· baño privado en el alojamiento,1 cama,No especificado
31,965420836964127441,"Alojamiento entero: vivienda en Santa Coloma de Gramenet, España",Barcelona,,120 €,No disponible en Agosto,Sin valoraciones,1 evaluación,1 dormitorio,1 baño,2 camas,4 viajeros
32,629321625066354466,"Alojamiento entero: piso en Barcelona, España",Barcelona,,348 €,473 €,"4,78",74 evaluaciones,2 dormitorios,2 baños,2 camas,5 viajeros
33,855080951167273810,"Habitación en Barcelona, España",Barcelona,,145 €,153 €,"4,46",39 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
34,42782234,"Alojamiento entero: casa de invitados en Caldes de Montbui, España",Barcelona,,55 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,2 camas,2 viajeros
35,554886293937435955,"Barco en Sant Adrià de Besòs, España",Barcelona,,120 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,2 camas,3 viajeros
36,1099721412168905834,"Alojamiento entero: vivienda en Barcelona, España",Barcelona,,500 €,No disponible en Agosto,Sin evaluaciones,Sin valoraciones,5 dormitorios,2 baños,No especificado,6 viajeros
37,1067431534499616186,,Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,,,,
38,596766439801829075,"Habitación en Martorell, España",Barcelona,,32 €,35 €,Nuevo,2 evaluaciones,1 dormitorio,· baño privado en el alojamiento,1 cama,No especificado
39,3942375,,Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,,,,
40,45274367,"Alojamiento entero: casa de invitados en Barcelona, España",Barcelona,,81 €,No disponible en Agosto,"4,94",221 evaluaciones,1 dormitorio,1 baño,3 camas,5 viajeros
41,37418264,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"3,33",3 evaluaciones,2 dormitorios,baño compartido,2 camas,No especificado
42,7126414,"Alojamiento entero: piso en Barcelona, España",Barcelona,,242 €,289 €,"4,40",43 evaluaciones,1 dormitorio,1 baño,1 cama,4 viajeros
43,33688320,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,2 dormitorios,1 baño,2 camas,2 viajeros
44,13079087,"Alojamiento entero: vivienda en Montcada i Reixac, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,68",168 evaluaciones,2 dormitorios,1 baño,3 camas,4 viajeros
45,19516555,"Alojamiento entero: piso en Badalona, España",Barcelona,,175 €,No disponible en Agosto,"4,73",141 evaluaciones,2 dormitorios,1 baño,4 camas,6 viajeros
46,958388067939990789,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Nuevo,1 evaluación,1 dormitorio,1 baño,No especificado,2 viajeros
47,1106437543785641970,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,88 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,0 dormitorios,baño compartido,No especificado,No especificado
48,929761800436440986,"Habitación en Santa Coloma de Gramenet, España",Barcelona,,99 €,99 €,"4,77",22 evaluaciones,1 dormitorio,baño compartido,2 camas,No especificado
49,602465982075695391,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,3 dormitorios,1 baño,3 camas,4 viajeros
50,1102856,"Alojamiento entero: piso en Barcelona, España",Barcelona,,59 €,165 €,Sin valoraciones,Sin valoraciones,2 dormitorios,1 baño,3 camas,4 viajeros
51,878658347316285621,"Alojamiento entero: piso en Barcelona, España",Barcelona,,321 €,232 €,"4,82",138 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
52,872548034802093278,"Alojamiento entero: adosado en Barcelona, España",Barcelona,,183 €,No disponible en Agosto,Nuevo,2 evaluaciones,1 dormitorio,1 baño,No especificado,7 viajeros
53,1284165,"Habitación privada en: casa de invitados en Barcelona, España",Barcelona,,62 €,68 €,"4,70",75 evaluaciones,1 dormitorio,1 baño privado,1 cama,2 viajeros
54,798641034129232387,"Alojamiento entero: suite con entrada independiente en Santa Coloma de Gramenet, España",Barcelona,,125 €,No disponible en Agosto,"4,86",49 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
55,50116709,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
56,29119342,"Alojamiento entero: piso en Barcelona, España",Barcelona,,153 €,No disponible en Agosto,"4,49",218 evaluaciones,3 dormitorios,1 baño,3 camas,4 viajeros
57,889657872239337218,"Habitación en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
58,52360287,"Alojamiento entero: piso en Barcelona, España",Barcelona,,430 €,388 €,"4,79",57 evaluaciones,2 dormitorios,1 baño,3 camas,5 viajeros
59,749093760924544119,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,40",10 evaluaciones,2 dormitorios,1 baño,3 camas,2 viajeros
60,6659629,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,450 €,Sin valoraciones,Sin valoraciones,4 dormitorios,2 baños,6 camas,6 viajeros
61,973013,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"4,61",187 evaluaciones,1 dormitorio,1 baño,2 camas,3 viajeros
62,1060132261491790676,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,Nuevo,2 evaluaciones,3 dormitorios,2 baños,3 camas,4 viajeros
63,1112838,"Alojamiento entero: piso en Barcelona, España",Barcelona,,180 €,No disponible en Agosto,"4,73",178 evaluaciones,3 dormitorios,2 baños,4 camas,6 viajeros
64,38418183,"Alojamiento entero: casa rural en La Garriga, España",Barcelona,,190 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,3 dormitorios,2 baños,6 camas,8 viajeros
65,742241,,Barcelona,,No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Sin valoraciones,,,,
66,45217774,"Alojamiento entero: piso en Pineda de Mar, España",Barcelona,,49 €,No disponible en Agosto,Sin valoraciones,Sin valoraciones,1 dormitorio,1 baño,1 cama,2 viajeros
67,1122240524365750170,"Alojamiento entero: piso en Barcelona, España",Barcelona,,No disponible en Octubre,No disponible en Agosto,"5,0",3 evaluaciones,2 dormitorios,1 baño,2 camas,4 viajeros
