ID,Título,Tipología,Ciudad,Localización,Precio,Valoración,Numero valoraciones,Baños,Camas,Viajeros máximos,Año,Plataforma
00000000000036187629,Alojamiento entero,Alojamiento,Valencia,"3.947.149,-3.346",90,5.0,,2,3,4,2019,White Hosting
00000000000005388904,Habitación privada,Habitación,Barcelona,"4.138.353,215.388",100,4.0,,1,1,1,2021,White Hosting
00000000000039982406,Alojamiento entero,Alojamiento,Madrid,"4.046.614,-380.948",220,,,3,8,10,2020,White Hosting
00000000000019344018,Habitación privada,Habitación,Madrid,"4.040.507.011.669.010,-3.693.182.634.598.120",200,,,1,2,2,2019,White Hosting
00000000000017218380,Alojamiento entero,Alojamiento,Girona,"4.210.782.265.163.360,3.141.601.421.913.330",143,4.2,,4,8,10,2018,White Hosting
00000000000030808704,Habitación privada,Habitación,Madrid,"4.038.349,-374.807",31,4.75,,1,1,2,2020,White Hosting
00000000000023409834,Habitación privada,Habitación,Madrid,"4.043.442,-367.562",40,4.0,,1,1,1,2019,White Hosting
00000000000001254955,Alojamiento entero,Alojamiento,Madrid,"4.040.373,-369.503",65,4.55,,1,2,4,2019,White Hosting
00000000000039921958,Alojamiento entero,Alojamiento,Girona,"4.191.682,316.875",111,,,4,5,8,2020,White Hosting
00000000000009485319,Alojamiento entero,Alojamiento,Madrid,"40.452.958.542.041.600,-3.701.970.768.287.100",55,4.800000000000001,,1,1,2,2018,White Hosting
00000000000031460984,Alojamiento entero,Alojamiento,Girona,"4.211.475,314.011",89,,,1,3,6,2019,White Hosting
00000000000020087018,Alojamiento entero,Alojamiento,Malaga,"367.152,-442.381",75,4.6000000000000005,,1,4,6,2020,White Hosting
00000000000018750489,Habitación privada,Habitación,Barcelona,"41.373.732.937.770.700,2.147.654.785.807.490",35,5.0,,2,1,2,2017,White Hosting
00000000000026274545,Alojamiento entero,Alojamiento,Valencia,"3.948.535,-38.751",42,4.55,,1,3,4,2019,White Hosting
00000000000038259169,Habitación privada,Habitación,Barcelona,"4.137.938,214.547",32,4.05,,1,1,2,2020,White Hosting
00000000000024954938,Alojamiento entero,Alojamiento,Menorca,"3.997.489.638.341.200,3.839.562.319.926.850",130,4.0,,2,5,6,2018,White Hosting
00000000000009273891,Alojamiento entero,Alojamiento,Mallorca,"3.964.776.495.659.560,2.625.569.388.711.020",67,4.2,,1,4,4,2018,White Hosting
00000000000033766241,Habitación privada,Habitación,Madrid,"4.042.565,-369.974",50,4.5,,2,1,2,2019,White Hosting
00000000000023473002,Habitación privada,Habitación,Madrid,"403.948.800.922.717,-3.663.774.025.872.960",18,4.0,,1,2,4,2018,White Hosting
