ID,CP,PRECIO POR PISO,PRECIO POR CASA
3586833,28017,2962 ,3144 
1138900553049093343,28011,2936 ,2680 
813055075285618470,28031,2445 ,2317 
53659002,28026,2504 ,2563 
569433254237504372,28010,7169 ,5233 
38623082,28015,5701 ,2216 
1106005671443436276,28026,2504 ,2563 
618720635614002432,28034,3657 ,3485 
1015746916573709546,28042,3752 ,3278 
944776551217293783,28026,2504 ,2563 
51921541,28019,2737 ,2498 
782626371247516544,28017,2962 ,3144 
1004340885287069506,28030,2810 ,2289 
770386641526375581,28009,7057 ,5976 
988866821655154172,28032,2704 ,2823 
713777468517538116,28018,2115 ,2096 
51633768,28003,5992 ,6000 
958676355945163903,28045,4451 ,4763 
600368939714617462,28004,6544 ,5818 
42431040,28020,4967 ,829 
805684078906510538,28010,7169 ,5233 
1103543783568160209,28017,2962 ,3144 
1125476329658710147,28043,4430 ,4304 
1102068843763638265,28012,4818 ,3175 
1126739561738502826,28002,5455 ,7899 
739721914714622899,28009,7057 ,5976 
1097672373684015561,28003,5992 ,6000 
1128852134356774807,28022,3080 ,3139 
1139739396993926338,28005,4879 ,4945 
605525788298538912,28041,2214 ,2440 
42046394,28045,4451 ,4763 
1111012125955288180,28045,4451 ,4763 
657011539776416329,28032,2704 ,2823 
30106610,28045,4451 ,4763 
1055840293109364339,28032,2704 ,2823 
1096244063292543276,28016,5868 ,6848 
641117277482958729,28025,2311 ,2262 
817259230117760076,28039,3874 ,3396 
604348883039432781,28009,7057 ,5976 
702899531238316734,28042,3752 ,3278 
1105985965012512388,28025,2311 ,2262 
813745079215519928,28042,3752 ,3278 
35439773,28019,2737 ,2498 
1135370377106681453,28005,4879 ,4945 
923786084829682484,28020,4967 ,829 
648589218564035261,28015,5701 ,2216 
682313313341411150,28045,4451 ,4763 
975493900261193874,28030,2810 ,2289 
48672492,28002,5455 ,7899 
911345532433110385,28011,2936 ,2680 
825876820173794890,28044,2429 ,2058 
701228034333215922,28042,3752 ,3278 
944048505343975480,28015,5701 ,2216 
604092307498076311,28012,4818 ,3175 
1021130443413751338,28045,4451 ,4763 
1047751873763743017,28033,3900 ,3818 
1087194565149993909,28026,2504 ,2563 
1061509492184985152,28045,4451 ,4763 
12560698,28045,4451 ,4763 
849208689069085679,28047,2477 ,2371 
954295535871508498,28031,2445 ,2317 
26728651,28029,3854 ,3259 
1128198109864004445,28013,4917 ,3286 
1078915903154979864,28004,6544 ,5818 
827269532255363818,28004,6544 ,5818 
1116723675835977281,28053,2293 ,2036 
869458356471384276,28007,4768 ,4564 
978518743068545534,28041,2214 ,2440 
909987551984221768,28034,3657 ,3485 
913767880994499999,28006,7921 ,7997 
847054129239226237,28010,7169 ,5233 
819518424371086091,28039,3874 ,3396 
1009375011420932547,28006,7921 ,7997 
16213864,28014,6436 ,2796 
1118152495493716271,28008,5683 ,5308 
981158638359219888,28039,3874 ,3396 
839805550941878584,28026,2504 ,2563 
907256923289262996,28004,6544 ,5818 
47897389,28026,2504 ,2563 
714194442792391970,28003,5992 ,6000 
15609190,28006,7921 ,7997 
18067583,28001,9376 ,6266 
936634302336374135,28020,4967 ,829 
1088539680538736617,28030,2810 ,2289 
670523894650218504,28022,3080 ,3139 
941385687378773662,28025,2311 ,2262 
1106686900025434250,28007,4768 ,4564 
33002419,28042,3752 ,3278 
917922741750673213,28013,4917 ,3286 
16444826,28026,2504 ,2563 
999988505419653148,28027,3718 ,3764 
950810794775877488,28025,2311 ,2262 
1099379669226765308,28018,2115 ,2096 
7061159,28011,2936 ,2680 
735564050050881564,28019,2737 ,2498 
1039158278837164465,28053,2293 ,2036 
1045592465518563705,28010,7169 ,5233 
20579404,28001,9376 ,6266 
1052098147793582990,28022,3080 ,3139 
34378324,28026,2504 ,2563 
862246946353143713,28011,2936 ,2680 
1100596120166510149,28012,4818 ,3175 
948391662354379444,28046,5834 ,3751 
49511750,28010,7169 ,5233 
904854302115777444,28039,3874 ,3396 
18100690,28042,3752 ,3278 
656375669176241177,28005,4879 ,4945 
28710478,28004,6544 ,5818 
42831968,28004,6544 ,5818 
591093362257874483,28010,7169 ,5233 
4162483,28022,3080 ,3139 
52180104,28010,7169 ,5233 
582498237782066918,28050,4580 ,3916 
993600367513473110,28037,2621 ,3220 
555722653048129999,28041,2214 ,2440 
771172357661574741,28007,4768 ,4564 
942413375575081001,28028,5148 ,4912 
1138921119288365017,28004,6544 ,5818 
15995740,28027,3718 ,3764 
22245868,28028,5148 ,4912 
616530063987425028,28020,4967 ,829 
36307744,28053,2293 ,2036 
1125905248035721189,28005,4879 ,4945 
944795255722687936,28026,2504 ,2563 
44054491,28028,5148 ,4912 
807144510992300934,28013,4917 ,3286 
934866660466727278,28041,2214 ,2440 
12008311,28026,2504 ,2563 
881655562211241963,28006,7921 ,7997 
16906233,28010,7169 ,5233 
54087556,28006,7921 ,7997 
884551511129760677,28013,4917 ,3286 
988115567037334923,28020,4967 ,829 
1012183629573661013,28018,2115 ,2096 
1130437082286699135,28033,3900 ,3818 
659123054635759016,28043,4430 ,4304 
1142036897983346485,28047,2477 ,2371 
998642799273500632,28028,5148 ,4912 
763023428920862616,28011,2936 ,2680 
34774177,28017,2962 ,3144 
51836498,28027,3718 ,3764 
979955278080859390,28041,2214 ,2440 
812247755136666376,28025,2311 ,2262 
948628556127072498,28045,4451 ,4763 
1016024640648491359,28019,2737 ,2498 
18093383,28009,7057 ,5976 
770804778174448545,28009,7057 ,5976 
778404699390354331,28042,3752 ,3278 
38071198,28038,2395 ,2216 
654055144846199595,28017,2962 ,3144 
50818019,28014,6436 ,2796 
11664287,28010,7169 ,5233 
49833133,28004,6544 ,5818 
1110296644884208553,28053,2293 ,2036 
933326,28045,4451 ,4763 
34490476,28017,2962 ,3144 
906605411630358233,28014,6436 ,2796 
945149189480344890,28009,7057 ,5976 
831713147993383367,28039,3874 ,3396 
803380875580433064,28002,5455 ,7899 
34732572,28015,5701 ,2216 
683292876592673002,28019,2737 ,2498 
1020043867757240230,28010,7169 ,5233 
867449943114421918,28002,5455 ,7899 
725789004115538685,28042,3752 ,3278 
1039786688219756206,28024,2564 ,3021 
29563151,28053,2293 ,2036 
51568557,28045,4451 ,4763 
564167138297601693,28025,2311 ,2262 
873005714126572119,28019,2737 ,2498 
30714597,28001,9376 ,6266 
52230971,28036,6077 ,6761 
617428582925426420,28029,3854 ,3259 
53997387,28043,4430 ,4304 
1135619557878369308,28004,6544 ,5818 
1044639435514123404,28004,6544 ,5818 
32461290,28020,4967 ,829 
1130556082824872645,28018,2115 ,2096 
29927598,28053,2293 ,2036 
1106586689376206755,28004,6544 ,5818 
31254291,28006,7921 ,7997 
53776119,28039,3874 ,3396 
52345541,28025,2311 ,2262 
873102770909169152,28042,3752 ,3278 
997467791628376513,28020,4967 ,829 
1107056967895573635,28024,2564 ,3021 
935210869876624031,28020,4967 ,829 
1263329,28045,4451 ,4763 
1103562790728592851,28020,4967 ,829 
683987844138712157,28024,2564 ,3021 
1072387007278068377,28001,9376 ,6266 
889283971711447634,28033,3900 ,3818 
1100050920300144649,28039,3874 ,3396 
748613277176266249,28020,4967 ,829 
1091420378665829352,28002,5455 ,7899 
927396994073519081,28017,2962 ,3144 
655899974790609114,28019,2737 ,2498 
1062313725310213243,28017,2962 ,3144 
755502508203878881,28029,3854 ,3259 
978787616688399646,28035,3933 ,3433 
