ID,CP,PRECIO POR PISO,PRECIO POR CASA,Precio m2
00000000000003586833,28017,2962,3144,3053
01138900553049093343,28011,2936,2680,2808
00813055075285618470,28031,2445,2317,2381
00000000000053659002,28026,2504,2563,2533
00569433254237504372,28010,7169,5233,6201
00000000000038623082,28015,5701,2216,3958
01106005671443436276,28026,2504,2563,2533
00618720635614002432,28034,3657,3485,3571
01015746916573709546,28042,3752,3278,3515
00944776551217293783,28026,2504,2563,2533
00000000000051921541,28019,2737,2498,2617
00782626371247516544,28017,2962,3144,3053
01004340885287069506,28030,2810,2289,2549
00770386641526375581,28009,7057,5976,6516
00988866821655154172,28032,2704,2823,2763
00713777468517538116,28018,2115,2096,2105
00000000000051633768,28003,5992,6000,5996
00958676355945163903,28045,4451,4763,4607
00600368939714617462,28004,6544,5818,6181
00000000000042431040,28020,4967,829,2898
00805684078906510538,28010,7169,5233,6201
01103543783568160209,28017,2962,3144,3053
01125476329658710147,28043,4430,4304,4367
01102068843763638265,28012,4818,3175,3996
01126739561738502826,28002,5455,7899,6677
00739721914714622899,28009,7057,5976,6516
01097672373684015561,28003,5992,6000,5996
01128852134356774807,28022,3080,3139,3109
01139739396993926338,28005,4879,4945,4912
00605525788298538912,28041,2214,2440,2327
00000000000042046394,28045,4451,4763,4607
01111012125955288180,28045,4451,4763,4607
00657011539776416329,28032,2704,2823,2763
00000000000030106610,28045,4451,4763,4607
01055840293109364339,28032,2704,2823,2763
01096244063292543276,28016,5868,6848,6358
00641117277482958729,28025,2311,2262,2286
00817259230117760076,28039,3874,3396,3635
00604348883039432781,28009,7057,5976,6516
00702899531238316734,28042,3752,3278,3515
01105985965012512388,28025,2311,2262,2286
00813745079215519928,28042,3752,3278,3515
00000000000035439773,28019,2737,2498,2617
01135370377106681453,28005,4879,4945,4912
00923786084829682484,28020,4967,829,2898
00648589218564035261,28015,5701,2216,3958
00682313313341411150,28045,4451,4763,4607
00975493900261193874,28030,2810,2289,2549
00000000000048672492,28002,5455,7899,6677
00911345532433110385,28011,2936,2680,2808
00825876820173794890,28044,2429,2058,2243
00701228034333215922,28042,3752,3278,3515
00944048505343975480,28015,5701,2216,3958
00604092307498076311,28012,4818,3175,3996
01021130443413751338,28045,4451,4763,4607
01047751873763743017,28033,3900,3818,3859
01087194565149993909,28026,2504,2563,2533
01061509492184985152,28045,4451,4763,4607
00000000000012560698,28045,4451,4763,4607
00849208689069085679,28047,2477,2371,2424
00954295535871508498,28031,2445,2317,2381
00000000000026728651,28029,3854,3259,3556
01128198109864004445,28013,4917,3286,4101
01078915903154979864,28004,6544,5818,6181
00827269532255363818,28004,6544,5818,6181
01116723675835977281,28053,2293,2036,2164
00869458356471384276,28007,4768,4564,4666
00978518743068545534,28041,2214,2440,2327
00909987551984221768,28034,3657,3485,3571
00913767880994499999,28006,7921,7997,7959
00847054129239226237,28010,7169,5233,6201
00819518424371086091,28039,3874,3396,3635
01009375011420932547,28006,7921,7997,7959
00000000000016213864,28014,6436,2796,4616
01118152495493716271,28008,5683,5308,5495
00981158638359219888,28039,3874,3396,3635
00839805550941878584,28026,2504,2563,2533
00907256923289262996,28004,6544,5818,6181
00000000000047897389,28026,2504,2563,2533
00714194442792391970,28003,5992,6000,5996
00000000000015609190,28006,7921,7997,7959
00000000000018067583,28001,9376,6266,7821
00936634302336374135,28020,4967,829,2898
01088539680538736617,28030,2810,2289,2549
00670523894650218504,28022,3080,3139,3109
00941385687378773662,28025,2311,2262,2286
01106686900025434250,28007,4768,4564,4666
00000000000033002419,28042,3752,3278,3515
00917922741750673213,28013,4917,3286,4101
00000000000016444826,28026,2504,2563,2533
00999988505419653148,28027,3718,3764,3741
00950810794775877488,28025,2311,2262,2286
01099379669226765308,28018,2115,2096,2105
00000000000007061159,28011,2936,2680,2808
00735564050050881564,28019,2737,2498,2617
01039158278837164465,28053,2293,2036,2164
01045592465518563705,28010,7169,5233,6201
00000000000020579404,28001,9376,6266,7821
01052098147793582990,28022,3080,3139,3109
00000000000034378324,28026,2504,2563,2533
00862246946353143713,28011,2936,2680,2808
01100596120166510149,28012,4818,3175,3996
00948391662354379444,28046,5834,3751,4792
00000000000049511750,28010,7169,5233,6201
00904854302115777444,28039,3874,3396,3635
00000000000018100690,28042,3752,3278,3515
00656375669176241177,28005,4879,4945,4912
00000000000028710478,28004,6544,5818,6181
00000000000042831968,28004,6544,5818,6181
00591093362257874483,28010,7169,5233,6201
00000000000004162483,28022,3080,3139,3109
00000000000052180104,28010,7169,5233,6201
00582498237782066918,28050,4580,3916,4248
00993600367513473110,28037,2621,3220,2920
00555722653048129999,28041,2214,2440,2327
00771172357661574741,28007,4768,4564,4666
00942413375575081001,28028,5148,4912,5030
01138921119288365017,28004,6544,5818,6181
00000000000015995740,28027,3718,3764,3741
00000000000022245868,28028,5148,4912,5030
00616530063987425028,28020,4967,829,2898
00000000000036307744,28053,2293,2036,2164
01125905248035721189,28005,4879,4945,4912
00944795255722687936,28026,2504,2563,2533
00000000000044054491,28028,5148,4912,5030
00807144510992300934,28013,4917,3286,4101
00934866660466727278,28041,2214,2440,2327
00000000000012008311,28026,2504,2563,2533
00881655562211241963,28006,7921,7997,7959
00000000000016906233,28010,7169,5233,6201
00000000000054087556,28006,7921,7997,7959
00884551511129760677,28013,4917,3286,4101
00988115567037334923,28020,4967,829,2898
01012183629573661013,28018,2115,2096,2105
01130437082286699135,28033,3900,3818,3859
00659123054635759016,28043,4430,4304,4367
01142036897983346485,28047,2477,2371,2424
00998642799273500632,28028,5148,4912,5030
00763023428920862616,28011,2936,2680,2808
00000000000034774177,28017,2962,3144,3053
00000000000051836498,28027,3718,3764,3741
00979955278080859390,28041,2214,2440,2327
00812247755136666376,28025,2311,2262,2286
00948628556127072498,28045,4451,4763,4607
01016024640648491359,28019,2737,2498,2617
00000000000018093383,28009,7057,5976,6516
00770804778174448545,28009,7057,5976,6516
00778404699390354331,28042,3752,3278,3515
00000000000038071198,28038,2395,2216,2305
00654055144846199595,28017,2962,3144,3053
00000000000050818019,28014,6436,2796,4616
00000000000011664287,28010,7169,5233,6201
00000000000049833133,28004,6544,5818,6181
01110296644884208553,28053,2293,2036,2164
00000000000000933326,28045,4451,4763,4607
00000000000034490476,28017,2962,3144,3053
00906605411630358233,28014,6436,2796,4616
00945149189480344890,28009,7057,5976,6516
00831713147993383367,28039,3874,3396,3635
00803380875580433064,28002,5455,7899,6677
00000000000034732572,28015,5701,2216,3958
00683292876592673002,28019,2737,2498,2617
01020043867757240230,28010,7169,5233,6201
00867449943114421918,28002,5455,7899,6677
00725789004115538685,28042,3752,3278,3515
01039786688219756206,28024,2564,3021,2792
00000000000029563151,28053,2293,2036,2164
00000000000051568557,28045,4451,4763,4607
00564167138297601693,28025,2311,2262,2286
00873005714126572119,28019,2737,2498,2617
00000000000030714597,28001,9376,6266,7821
00000000000052230971,28036,6077,6761,6419
00617428582925426420,28029,3854,3259,3556
00000000000053997387,28043,4430,4304,4367
01135619557878369308,28004,6544,5818,6181
01044639435514123404,28004,6544,5818,6181
00000000000032461290,28020,4967,829,2898
01130556082824872645,28018,2115,2096,2105
00000000000029927598,28053,2293,2036,2164
01106586689376206755,28004,6544,5818,6181
00000000000031254291,28006,7921,7997,7959
00000000000053776119,28039,3874,3396,3635
00000000000052345541,28025,2311,2262,2286
00873102770909169152,28042,3752,3278,3515
00997467791628376513,28020,4967,829,2898
01107056967895573635,28024,2564,3021,2792
00935210869876624031,28020,4967,829,2898
00000000000001263329,28045,4451,4763,4607
01103562790728592851,28020,4967,829,2898
00683987844138712157,28024,2564,3021,2792
01072387007278068377,28001,9376,6266,7821
00889283971711447634,28033,3900,3818,3859
01100050920300144649,28039,3874,3396,3635
00748613277176266249,28020,4967,829,2898
01091420378665829352,28002,5455,7899,6677
00927396994073519081,28017,2962,3144,3053
00655899974790609114,28019,2737,2498,2617
01062313725310213243,28017,2962,3144,3053
00755502508203878881,28029,3854,3259,3556
00978787616688399646,28035,3933,3433,3683
01136118465079980952,28047,2477,2371,2424
00000000000049074773,28011,2936,2680,2808
01030391305392681341,28028,5148,4912,5030
00880260552950118225,28050,4580,3916,4248
00000000000013403703,28045,4451,4763,4607
00000000000021879461,28015,5701,2216,3958
00000000000032513575,28037,2621,3220,2920
00854195509818792739,28029,3854,3259,3556
01070210060037869386,28041,2214,2440,2327
00000000000032402933,28038,2395,2216,2305
01007432017759374165,28026,2504,2563,2533
00878147653742979745,28026,2504,2563,2533
00000000000024508884,28025,2311,2262,2286
00000000000034029782,28012,4818,3175,3996
00953778038279439272,28047,2477,2371,2424
00000000000029981080,28007,4768,4564,4666
01111754747534662943,28026,2504,2563,2533
01092079733519787800,28017,2962,3144,3053
00000000000027369539,28036,6077,6761,6419
00000000000017244583,28004,6544,5818,6181
00996788104365738260,28007,4768,4564,4666
00000000000000914057,28038,2395,2216,2305
01128932756949794866,28042,3752,3278,3515
01101298892531826755,28038,2395,2216,2305
00000000000040985222,28004,6544,5818,6181
00000000000047002462,28038,2395,2216,2305
00000000000045438903,28034,3657,3485,3571
00000000000010082400,28003,5992,6000,5996
01081130798000502989,28039,3874,3396,3635
01092073907768256687,28045,4451,4763,4607
00644805739429143484,28029,3854,3259,3556
01141791006046682535,28011,2936,2680,2808
00000000000028683485,28035,3933,3433,3683
01076148381158043670,28003,5992,6000,5996
00000000000022764702,28028,5148,4912,5030
01064594507132636947,28034,3657,3485,3571
00000000000042878421,28027,3718,3764,3741
00964407683692763424,28038,2395,2216,2305
00558502284857692835,28043,4430,4304,4367
01066713129972958713,28041,2214,2440,2327
01133424933894752260,28028,5148,4912,5030
00000000000047908225,28026,2504,2563,2533
00000000000035714125,28039,3874,3396,3635
01075258481930537569,28030,2810,2289,2549
00773075329538197675,28022,3080,3139,3109
00773863019340335543,28004,6544,5818,6181
00000000000032439823,28034,3657,3485,3571
01126848606580194392,28012,4818,3175,3996
00000000000013598783,28023,4681,3722,4201
00000000000052853953,28045,4451,4763,4607
00628803068237802888,28001,9376,6266,7821
00617381097035078586,28053,2293,2036,2164
00826715690163409318,28039,3874,3396,3635
00611644340254613963,28022,3080,3139,3109
01137679246106086776,28012,4818,3175,3996
00000000000036463383,28053,2293,2036,2164
01057233168593822863,28011,2936,2680,2808
01138289085619811583,28006,7921,7997,7959
00759247955542290034,28047,2477,2371,2424
01051510005406832233,28017,2962,3144,3053
00000000000045830525,28012,4818,3175,3996
00000000000030554500,28017,2962,3144,3053
00000000000028930027,28006,7921,7997,7959
00646869426660771948,28047,2477,2371,2424
00814337754840310842,28039,3874,3396,3635
00000000000035065843,28011,2936,2680,2808
00000000000003501674,28017,2962,3144,3053
00000000000051647382,28053,2293,2036,2164
00915827660596527576,28026,2504,2563,2533
01089316153866659931,28017,2962,3144,3053
01126950480859125791,28017,2962,3144,3053
00000000000043937945,28009,7057,5976,6516
00000000000045283717,28010,7169,5233,6201
00000000000041768459,28038,2395,2216,2305
00000000000046348662,28019,2737,2498,2617
01082418380619075041,28007,4768,4564,4666
00000000000030052740,28011,2936,2680,2808
01026780049084130541,28041,2214,2440,2327
00000000000032485027,28038,2395,2216,2305
00943372583552006604,28006,7921,7997,7959
01128322005314082519,28053,2293,2036,2164
00000000000049433117,28003,5992,6000,5996
01021564995466968303,28046,5834,3751,4792
00976654230713325805,28027,3718,3764,3741
01106476367797671880,28049,4976,3886,4431
00000000000005278933,28030,2810,2289,2549
00984605907627943342,28002,5455,7899,6677
00738336673168423745,28014,6436,2796,4616
01078130838110598243,28045,4451,4763,4607
01125494766228236642,28007,4768,4564,4666
00000000000030580469,28014,6436,2796,4616
00000000000053335609,28008,5683,5308,5495
01106038484392320110,28026,2504,2563,2533
00000000000027257449,28003,5992,6000,5996
00833735716265570613,28019,2737,2498,2617
01098335207327955793,28031,2445,2317,2381
00555238156247911186,28041,2214,2440,2327
00000000000016478640,28011,2936,2680,2808
00000000000038419775,28033,3900,3818,3859
00000000000038702266,28005,4879,4945,4912
00000000000040721558,28022,3080,3139,3109
01012287670485099827,28043,4430,4304,4367
01081719191586962712,28045,4451,4763,4607
00905672799514033111,28032,2704,2823,2763
00000000000018540846,28015,5701,2216,3958
00000000000021944126,28045,4451,4763,4607
01140654383815698385,28043,4430,4304,4367
01140539291015310160,28001,9376,6266,7821
00795428335697217464,28016,5868,6848,6358
00735360754439509685,28038,2395,2216,2305
01060359764672801157,28011,2936,2680,2808
00980339330355298755,28030,2810,2289,2549
01042788124643710894,28009,7057,5976,6516
