ID,Vistas Sí/No,Vistas,Primera línea,Wifi,Aire acondicionado,Aparcamiento Sí/No,Aparcamiento
178456,1,Vistas al canal,1,1,0,1,Gratuito
238799,1,Vistas a la playa,1,1,1,1,Gratuito
291211,0,No disponible,0,1,1,1,Gratuito
328541,0,No disponible,0,1,1,0,No disponible
441930,0,No disponible,1,1,0,1,Gratuito
441953,0,No disponible,1,1,1,1,Gratuito
493832,0,No disponible,0,1,0,1,Gratuito
495837,0,No disponible,0,1,0,1,Gratuito
503803,0,No disponible,0,1,1,1,De pago
603924,1,Vistas a la playa,1,1,1,1,Gratuito
612483,0,No disponible,0,1,0,1,De pago
744388,0,No disponible,0,1,0,1,Gratuito
773049,1,Vistas a la playa,1,1,1,1,Gratuito
781232,1,Vistas a la playa,1,1,1,1,Gratuito
899914,0,No disponible,1,1,1,1,De pago
906734,0,No disponible,0,0,0,0,No disponible
931856,0,No disponible,0,1,1,1,De pago
940382,1,Vistas al mar,1,1,0,1,Gratuito
941911,1,Vistas al canal,0,1,1,1,Gratuito
1040457,0,No disponible,1,1,1,1,Gratuito
1047216,0,No disponible,1,1,1,1,Gratuito
1080054,1,Vistas a la playa,0,1,1,1,Gratuito
1176182,1,Vistas a la playa,1,1,1,1,De pago
1178953,1,Vistas a la playa,1,1,1,1,De pago
1179067,1,Vistas a la playa,1,1,1,1,De pago
1185288,1,Vistas a la playa,1,1,1,1,Gratuito
1204912,1,Vistas a la montaña,1,1,0,1,Gratuito
1215079,0,No disponible,1,1,0,1,Gratuito
1269740,0,No disponible,0,1,1,1,Gratuito
1391841,0,No disponible,0,1,1,1,Gratuito
1510808,0,No disponible,0,1,0,1,Gratuito
1520520,1,Vistas a la montaña,0,1,1,1,Gratuito
1547705,1,Vistas a la montaña,0,1,1,1,Gratuito
1574730,0,No disponible,1,1,1,1,Gratuito
1575793,0,No disponible,0,1,0,1,Gratuito
1620619,1,Vistas al puerto,0,1,1,1,Gratuito
1681937,0,No disponible,0,1,1,1,Gratuito
1682362,0,No disponible,0,1,1,1,Gratuito
1721038,0,No disponible,0,1,1,1,Gratuito
1731292,1,Vistas a la montaña,0,0,0,1,Gratuito
1842456,0,No disponible,1,1,1,1,Gratuito
1873788,0,No disponible,0,1,1,1,Gratuito
1879209,0,No disponible,0,1,1,1,Gratuito
1879579,0,No disponible,0,1,1,1,Gratuito
1997237,0,No disponible,1,1,1,1,Gratuito
2220591,0,No disponible,0,1,1,1,De pago
2239956,0,No disponible,0,1,1,0,No disponible
2266269,0,No disponible,0,0,0,1,Gratuito
2277861,0,No disponible,1,1,1,0,No disponible
2290707,0,No disponible,0,1,1,1,De pago
2309464,0,No disponible,0,1,0,1,De pago
2312412,0,No disponible,1,1,1,1,Gratuito
2313991,0,No disponible,1,1,1,1,Gratuito
2323961,1,Vistas a la playa,1,0,1,1,Gratuito
2388289,0,No disponible,1,1,1,1,Gratuito
2418224,0,No disponible,1,0,1,1,Gratuito
2431240,0,No disponible,1,1,1,1,Gratuito
2438971,1,Vistas al puerto,0,0,1,1,Gratuito
2510624,0,No disponible,0,1,1,1,Gratuito
2604925,0,No disponible,0,1,1,1,Gratuito
2633668,0,No disponible,0,1,0,0,No disponible
2640354,0,No disponible,1,1,1,1,Gratuito
2689512,0,No disponible,1,1,1,1,Gratuito
2698388,0,No disponible,0,1,1,0,No disponible
2820570,0,No disponible,0,1,1,1,Gratuito
2886510,1,Vistas a la montaña,0,1,1,1,Gratuito
2895056,0,No disponible,0,1,1,1,Gratuito
2921138,0,No disponible,0,1,0,1,Gratuito
2926875,0,No disponible,0,1,0,1,Gratuito
2946533,0,No disponible,0,1,1,1,Gratuito
2966884,0,No disponible,0,1,1,1,De pago
2967289,0,No disponible,0,1,1,1,De pago
2967609,0,No disponible,0,1,1,1,De pago
2971625,0,No disponible,1,1,0,1,Gratuito
2971929,0,No disponible,0,1,0,0,No disponible
2982199,0,No disponible,0,1,1,0,No disponible
3033831,0,No disponible,1,0,1,1,Gratuito
3045906,0,No disponible,0,1,1,1,Gratuito
3173485,0,No disponible,0,1,1,1,Gratuito
3215305,0,No disponible,1,0,0,1,Gratuito
3306072,0,No disponible,0,1,0,1,Gratuito
3393636,0,No disponible,0,1,1,1,Gratuito
3396948,0,No disponible,1,1,1,1,Gratuito
3414053,0,No disponible,1,1,1,1,Gratuito
3649426,0,No disponible,1,1,1,1,Gratuito
3714342,0,No disponible,0,1,0,1,Gratuito
3757544,0,No disponible,0,1,1,1,Gratuito
3826309,1,Vistas al puerto,1,1,1,1,Gratuito
3913640,1,Vistas al puerto,1,0,1,1,Gratuito
4062695,0,No disponible,1,1,1,0,No disponible
4132331,0,No disponible,0,1,0,0,No disponible
4309778,0,No disponible,0,1,1,1,De pago
4323108,0,No disponible,0,1,1,1,De pago
4415171,0,No disponible,0,1,1,1,Gratuito
4490544,0,No disponible,0,1,1,1,De pago
4570147,0,No disponible,0,1,1,1,Gratuito
4751510,1,Vistas a la montaña,0,1,1,1,Gratuito
5002986,0,No disponible,0,1,0,1,Gratuito
5050161,0,No disponible,1,1,0,1,Gratuito
5058872,0,No disponible,0,1,0,1,Gratuito
5160499,1,Vistas al mar,1,1,1,1,Gratuito
5172774,1,Vistas a la montaña,1,1,1,1,Gratuito
5193642,0,No disponible,0,1,1,1,Gratuito
5198082,0,No disponible,1,1,1,0,No disponible
5258570,0,No disponible,0,1,1,1,Gratuito
5362945,1,Vistas al canal,0,1,1,1,Gratuito
5496676,1,Vistas al mar,1,1,0,1,Gratuito
5561252,0,No disponible,0,1,0,1,Gratuito
5577898,1,Vistas al mar,1,1,1,1,Gratuito
5586580,0,No disponible,0,1,1,1,Gratuito
5657279,0,No disponible,0,1,1,1,Gratuito
5678550,1,Vistas al mar,1,1,0,1,Gratuito
5764385,0,No disponible,1,1,1,1,Gratuito
5777364,0,No disponible,0,0,0,1,Gratuito
5789170,0,No disponible,0,1,1,1,Gratuito
5813539,0,No disponible,1,1,0,1,Gratuito
5922658,0,No disponible,0,1,0,1,Gratuito
5936519,1,Vistas a la montaña,1,1,1,1,Gratuito
5937603,0,No disponible,0,1,1,1,Gratuito
5941064,1,Vistas a la montaña,1,1,1,1,Gratuito
6003304,1,Vistas a la playa,1,1,1,1,Gratuito
6398822,0,No disponible,0,0,1,1,Gratuito
6584127,1,Vistas a la montaña,0,1,1,1,Gratuito
6595719,0,No disponible,0,1,1,1,Gratuito
6631532,0,No disponible,0,1,1,1,Gratuito
6654371,0,No disponible,1,0,1,1,Gratuito
6763924,0,No disponible,0,1,1,1,Gratuito
6780620,1,Vistas a la playa,1,1,1,1,Gratuito
6786318,1,Vistas a la playa,1,0,1,1,Gratuito
6982781,0,No disponible,1,0,0,1,Gratuito
7066494,0,No disponible,0,1,1,1,De pago
