,ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
0,3586833,"Habitación en Madrid, España",Madrid,"40.42813,-3.64537",No disponible en Octubre,26 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
1,1138900553049093343,"Habitación en Madrid, España",Madrid,"40.409064,-3.728734",54 €,54 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
2,813055075285618470,"Alojamiento entero: piso en Madrid, España",Madrid,"40.363582,-3.589946",96 €,No disponible en Agosto,"4,80",15 evaluaciones,1 dormitorio,1 baño,2 camas,2 viajeros
3,53659002,"Alojamiento entero: casa de invitados en Madrid, España",Madrid,"40.3881,-3.7093",75 €,75 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
4,1052592916515443766,"Habitación en Madrid, España",Madrid,"40.4108,-3.7358",30 €,30 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
5,569433254237504372,"Habitación en Madrid, España",Madrid,"40.4339,-3.7013",49 €,49 €,"4,80",50 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
6,38623082,"Alojamiento entero: piso en Madrid, España",Madrid,"40.43303,-3.71064",140 €,140 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,2 camas,4 viajeros
7,1106005671443436276,"Habitación en Madrid, España",Madrid,"40.3838,-3.708",33 €,33 €,Sin valoraciones,Política de Cookies,1 dormitorio,baño compartido,No especificado,No especificado
8,618720635614002432,"Habitación en Madrid, España",Madrid,"40.49987,-3.69068",75 €,75 €,"4,83",54 evaluaciones,1 dormitorio,· baño privado en el alojamiento,1 cama,No especificado
9,38322701,"Alojamiento entero: vivienda en Mejorada del Campo, España",Madrid,"40.40102,-3.4781",180 €,180 €,"5,0",7 evaluaciones,5 dormitorios,5 baños,5 camas,7 viajeros
10,1015746916573709546,"Alojamiento entero: piso en Madrid, España",Madrid,"40.45708,-3.58668",180 €,150 €,"4,91",11 evaluaciones,3 dormitorios,1 baño,4 camas,7 viajeros
11,944776551217293783,"Alojamiento entero: piso en Madrid, España",Madrid,"40.391371,-3.702473",107 €,92 €,"4,57",23 evaluaciones,1 dormitorio,1 baño,1 cama,4 viajeros
12,51921541,"Alojamiento entero: apto. residencial en Madrid, España",Madrid,"40.3907,-3.7259",97 €,68 €,"4,64",69 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
13,782626371247516544,"Alojamiento entero: piso en Madrid, España",Madrid,"40.4278,-3.6515",60 €,63 €,"4,43",94 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
14,1142506478976302722,"Alojamiento entero: piso en Leganés, España",Madrid,"40.330906,-3.764345",130 €,No disponible en Agosto,Nuevo,Política de Cookies,3 dormitorios,2 baños,3 camas,7 viajeros
15,1004340885287069506,"Habitación en Madrid, España",Madrid,"40.39556,-3.63374",35 €,35 €,"4,67",6 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
16,882519393725233201,"Habitación en Getafe, España",Madrid,"40.30523,-3.73486",25 €,25 €,"4,71",21 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
17,770386641526375581,"Alojamiento entero: piso en Madrid, España",Madrid,"40.42363,-3.67515",180 €,160 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,3 camas,4 viajeros
18,988866821655154172,"Habitación en Madrid, España",Madrid,"40.407602,-3.608959",26 €,26 €,Sin valoraciones,Política de Cookies,1 dormitorio,baño compartido,No especificado,No especificado
19,713777468517538116,"Habitación en Madrid, España",Madrid,"40.38386,-3.65544",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
20,51633768,"Habitación privada en: apto. residencial en Madrid, España",Madrid,"40.43876,-3.71334",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño privado,1 cama,2 viajeros
21,958676355945163903,"Habitación privada en: loft en Madrid, España",Madrid,"40.3925,-3.69845",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,1 cama,2 viajeros
22,600368939714617462,"Alojamiento entero: piso en Madrid, España",Madrid,"40.42107,-3.7023",92 €,92 €,"4,64",264 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
23,42431040,"Habitación en Madrid, España",Madrid,"40.45277,-3.70131",48 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
24,805684078906510538,"Alojamiento entero: piso en Madrid, España",Madrid,"40.43093,-3.69989",No disponible en Octubre,No disponible en Agosto,"4,81",94 evaluaciones,2 dormitorios,2 baños,2 camas,4 viajeros
25,1103543783568160209,"Habitación en Madrid, España",Madrid,"40.4321,-3.65181",35 €,35 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
26,1125476329658710147,"Habitación en Madrid, España",Madrid,"40.4576,-3.6605",46 €,46 €,"5,0",4 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
27,1102068843763638265,"Alojamiento entero: piso en Madrid, España",Madrid,"40.409997,-3.702356",No disponible en Octubre,No disponible en Agosto,Nuevo,1 evaluación,1 dormitorio,1 baño,1 cama,4 viajeros
28,1126739561738502826,"Alojamiento entero: piso en Madrid, España",Madrid,"40.4453,-3.6708",97 €,97 €,Nuevo,1 evaluación,1 dormitorio,1 baño,2 camas,4 viajeros
29,739721914714622899,"Alojamiento entero: piso en Madrid, España",Madrid,"40.41921,-3.6722",243 €,No disponible en Agosto,"4,69",29 evaluaciones,2 dormitorios,2 baños,4 camas,5 viajeros
30,1097672373684015561,"Alojamiento entero: piso en Madrid, España",Madrid,"40.43891,-3.7068",No disponible en Octubre,168 €,"5,0",3 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
31,1128852134356774807,"Alojamiento entero: piso en Madrid, España",Madrid,"40.443,-3.5846",No disponible en Octubre,77 €,"4,75",4 evaluaciones,2 dormitorios,1 baño,No especificado,6 viajeros
32,1139739396993926338,"Habitación en Madrid, España",Madrid,"40.412879,-3.713103",50 €,50 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
33,605525788298538912,"Alojamiento entero: piso en Madrid, España",Madrid,"40.38016,-3.69455",No disponible en Octubre,No disponible en Agosto,"4,83",6 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
34,42046394,"Alojamiento entero: piso en Madrid, España",Madrid,"40.39966,-3.69738",110 €,110 €,"4,62",97 evaluaciones,2 dormitorios,1 baño,2 camas,4 viajeros
35,1111012125955288180,"Alojamiento entero: piso en Madrid, España",Madrid,"40.388,-3.69302",82 €,82 €,"4,67",3 evaluaciones,1 dormitorio,1 baño,No especificado,4 viajeros
36,657011539776416329,"Habitación en Madrid, España",Madrid,"40.3947,-3.6251",42 €,45 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en el alojamiento,1 cama,No especificado
37,30106610,"Alojamiento entero: piso en Madrid, España",Madrid,"40.39939,-3.70018",103 €,103 €,"4,51",219 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
38,1055840293109364339,"Alojamiento entero: piso en Madrid, España",Madrid,"40.4035,-3.6072",99 €,130 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
39,1096244063292543276,"Alojamiento entero: piso en Madrid, España",Madrid,"40.455184,-3.680399",270 €,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,No especificado,4 viajeros
40,641117277482958729,"Habitación en Madrid, España",Madrid,"40.3843,-3.72754",43 €,43 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,No especificado,No especificado
41,817259230117760076,"Habitación en Madrid, España",Madrid,"40.458351,-3.70369",No disponible en Octubre,No disponible en Agosto,"4,62",52 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
42,604348883039432781,"Habitación en Madrid, España",Madrid,"40.41704,-3.67763",37 €,37 €,"4,65",131 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
43,702899531238316734,"Habitación en Madrid, España",Madrid,"40.45997,-3.58883",48 €,48 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
44,1105985965012512388,"Alojamiento entero: piso en Madrid, España",Madrid,"40.376298,-3.743612",No disponible en Octubre,No disponible en Agosto,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,No especificado,4 viajeros
45,813745079215519928,"Alojamiento entero: piso en Madrid, España",Madrid,"40.474532,-3.584479",No disponible en Octubre,93 €,"5,0",4 evaluaciones,2 dormitorios,1 baño,3 camas,6 viajeros
46,35439773,"Habitación en Madrid, España",Madrid,"40.38773,-3.72278",No disponible en Octubre,26 €,"4,83",82 evaluaciones,1 dormitorio,baño compartido,No especificado,No especificado
