,ID,Lista Amenities
0,3586833,"['Secador de pelo', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Plancha', 'Calefacción', 'Detector de humo', 'Detector de monóxido de carbono', 'Wifi', 'Zona para trabajarEn una habitación con puerta', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Lavavajillas', 'Fogón', 'Cafetera', 'Aparcamiento gratuito en la calle', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'No disponible: Cerradura en la puerta del dormitorioCerradura en la puerta del dormitorioLa puerta del dormitorio no tiene cerradura.', 'No disponible: TVTV', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado']"
1,1138900553049093343,"['Lavadora', 'TV', 'Aire acondicionado', 'Cerradura en la puerta del dormitorio', 'Extintor de incendios', 'Wifi', 'Zona para trabajar', 'CocinaCocina disponible para el uso de los huéspedes', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Servicios básicosServicios básicos', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: CalefacciónCalefacción', 'No disponible: Agua calienteAgua caliente']"
2,813055075285618470,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'TV', 'Libros y material de lectura', 'Aire acondicionado', 'Sistema de calefacción sin conductos tipo split', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Patio o balcón', 'Barbacoa', 'Aparcamiento gratuito en las instalaciones', 'Piscina', 'Disponible para estancias largasPermite estancias de 28 días o más', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
3,53659002,"['Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Agua caliente', 'Lavadora en el alojamiento (Gratis)', 'Secadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa: armario', 'Televisión de alta definición de 50\xa0pulgadas', 'Sistema de aire acondicionado sin conductos tipo split', 'Calefactor portátil', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Fogón', 'Hervidor de agua', 'Cafetera: Nespresso', 'Mesa de comedor', 'Entrada independienteEntrada por otra calle o edificio', 'Aparcamiento gratuito en la calle', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Llegada autónoma', 'Caja de seguridad para llaves', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
4,1052592916515443766,"['Cerradura en la puerta del dormitorio', 'Wifi', 'Admite mascotasLos animales de asistencia siempre están permitidos', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: CocinaCocina', 'No disponible: TVTV', 'No disponible: LavadoraLavadora', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Servicios básicosServicios básicos', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: CalefacciónCalefacción', 'No disponible: Agua calienteAgua caliente']"
5,569433254237504372,"['Bañera', 'Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Bidé', 'Agua caliente', 'Gel de ducha', 'Lavadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Tendedero para ropa', 'Espacio para guardar la ropa: armario', 'TV', 'Aire acondicionado de ventana', 'Calefacción', 'Cerradura en la puerta del dormitorio', 'Wifi', 'Zona para trabajarEn una zona común', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Horno de acero inoxidable', 'Tostadora', 'Disponible para estancias largasPermite estancias de 28 días o más', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
6,38623082,"['Secador de pelo', 'Agua caliente', 'Lavadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Plancha', 'Televisión de alta definición de 32\xa0pulgadas', 'Sistema de aire acondicionado sin conductos tipo split', 'Calefacción', 'Botiquín', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Lavavajillas', 'Fogón', 'Cafetera', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'Aparcamiento de pago fuera de las instalaciones', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoNo hay detector de humo en la propiedad.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEl anfitrión ha indicado que no es necesario ningún detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con él.']"
7,1106005671443436276,"['Secador de pelo', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Espacio para guardar la ropa', 'TV', 'Calefacción radiante', 'Cerradura en la puerta del dormitorio', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Admite mascotasLos animales de asistencia siempre están permitidos', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'Apto para fumadores', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Agua calienteAgua caliente']"
8,618720635614002432,"['Bañera', 'Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Agua caliente', 'Gel de ducha', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa: armario', 'TV', 'Aire acondicionado', 'Sistema de calefacción sin conductos tipo split', 'Cerradura en la puerta del dormitorio', 'Wifi rápido (89\xa0Mbps)Se ha verificado con una prueba de velocidad. Reproduce vídeos en 4K y participa en videollamadas desde varios dispositivos.', 'Zona para trabajarEn una habitación con puerta', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Lavavajillas', 'Horno', 'Cafetera: Nespresso', 'Mesa de comedor', 'Café', 'Entrada independienteEntrada por otra calle o edificio', 'Aparcamiento gratuito en la calle', 'Alojamiento de una alturaAlojamiento sin escaleras', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Llegada autónoma', 'Cerradura inteligente', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoNo hay detector de humo en la propiedad.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoNo hay detector de monóxido de carbono en la propiedad.']"
9,38322701,"['Vistas al jardín', 'Bañera', 'Secador de pelo', 'Productos de limpieza', 'Bidé', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Mosquitera', 'Espacio para guardar la ropa: armario', 'TV', 'Bañera para bebés: disponible previa solicitud', 'Chimenea interior', 'Calefacción central', 'Botiquín', 'Wifi', 'Zona para trabajarEn una habitación con puerta', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Lavavajillas', 'Horno doble de acero inoxidable', 'Cafetera: máquina de café expreso', 'Copas de vino', 'Tostadora', 'Mesa de comedor', 'Café', 'Lavandería cercana', 'Patio o balcón (privada)', 'Patio trasero privado: Con valla en todo el perímetroUn espacio abierto en la propiedad generalmente cubierto de césped', 'Mobiliario exterior', 'Comedor al aire libre', 'Aparcamiento gratuito en las instalaciones', 'Aparcamiento gratuito en la calle', 'Cargador para coches eléctricosLos huéspedes pueden cargar sus vehículos eléctricos en la propiedad', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Limpieza disponible durante la estancia', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedadHay una cámara de seguridad en el salón, en el garaje y en el pasillo de la primera planta, estas cámaras solo se encienden en el hipotético caso de que ocurra un salto de alarma y no hacen vídeos, solo fotos. Si prefieren pueden taparlas durante su estancia.', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Detector de humoDetector de humoNo hay detector de humo en la propiedad.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEl anfitrión ha indicado que no es necesario ningún detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con él.']"
