ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
000000000003586833,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.42813,-3.64537",Madrid,26,,26,,,1,1,1,
1138900553049093343,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.409064,-3.728734",Madrid,54,54,54,,,1,1,1,
813055075285618470,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.363582,-3.589946",Madrid,,96,96,4.8,15,1,1,2,2
000000000053659002,"Alojamiento entero: casa de invitados en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3881,-3.7093",Madrid,75,75,75,,,1,1,2,4
1052592916515443766,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4108,-3.7358",Madrid,30,30,30,,,1,1,1,
569433254237504372,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4339,-3.7013",Madrid,49,49,49,4.8,50,1,1,1,
000000000038623082,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.43303,-3.71064",Madrid,140,140,140,,,2,1,2,4
1106005671443436276,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.3838,-3.708",Madrid,33,33,33,,,1,1,,
618720635614002432,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.49987,-3.69068",Madrid,75,75,75,4.83,54,1,1,1,
000000000038322701,"Alojamiento entero: vivienda en Mejorada del Campo, España",Alojamiento entero,Alojamiento,Madrid,"40.40102,-3.4781",Mejorada del Campo,180,180,180,5.0,7,5,5,5,7
1015746916573709546,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.45708,-3.58668",Madrid,150,180,165,4.91,11,3,1,4,7
944776551217293783,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.391371,-3.702473",Madrid,92,107,100,4.57,23,1,1,1,4
000000000051921541,"Alojamiento entero: apto. residencial en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.3907,-3.7259",Madrid,68,97,82,4.64,69,1,1,1,2
782626371247516544,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.4278,-3.6515",Madrid,63,60,62,4.43,94,1,1,1,2
1142506478976302722,"Alojamiento entero: piso en Leganés, España",Alojamiento entero,Alojamiento,Madrid,"40.330906,-3.764345",Legans,,130,130,,,3,2,3,7
1004340885287069506,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.39556,-3.63374",Madrid,35,35,35,4.67,6,1,1,1,
882519393725233201,"Habitación en Getafe, España",Habitación,Habitación,Madrid,"40.30523,-3.73486",Getafe,25,25,25,4.71,21,1,1,1,
770386641526375581,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.42363,-3.67515",Madrid,160,180,170,,,2,1,3,4
988866821655154172,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.407602,-3.608959",Madrid,26,26,26,,,1,1,,
713777468517538116,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.38386,-3.65544",Madrid,,,,,,1,1,1,
000000000051633768,"Habitación privada en: apto. residencial en Madrid, España",Habitación privada en,Habitación,Madrid,"40.43876,-3.71334",Madrid,,,,,,1,1,1,2
958676355945163903,"Habitación privada en: loft en Madrid, España",Habitación privada en,Habitación,Madrid,"40.3925,-3.69845",Madrid,,,,,,1,1,1,2
600368939714617462,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.42107,-3.7023",Madrid,92,92,92,4.64,264,1,1,1,2
000000000042431040,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.45277,-3.70131",Madrid,,48,48,,,1,1,1,
805684078906510538,"Alojamiento entero: piso en Madrid, España",Alojamiento entero,Alojamiento,Madrid,"40.43093,-3.69989",Madrid,,,,4.81,94,2,2,2,4
1103543783568160209,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4321,-3.65181",Madrid,35,35,35,,,1,1,1,
1125476329658710147,"Habitación en Madrid, España",Habitación,Habitación,Madrid,"40.4576,-3.6605",Madrid,46,46,46,5.0,4,1,1,,
