ID,Amenities
178456,"['Vistas al canal', 'Vistas al lago', 'Secador de pelo', 'Champú', 'Agua caliente', 'Lavadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Plancha', 'TV', 'Cuna', 'Parque/cunas de viaje', 'Libros y juguetes para niños', 'Trona', 'Calefacción', 'Wifi', 'Zona para trabajarEn una habitación con puerta', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Lavavajillas', 'Cocina de gas', 'Horno', 'Cafetera', 'Acceso a la playa, primera líneaLos huéspedes pueden disfrutar de una playa cercana', 'Acceso al lagoLos huéspedes pueden llegar a un lago a través de un sendero o un muelle', 'Entrada independienteEntrada por otra calle o edificio', 'Patio o balcón (privada)', 'Patio trasero privado: Con valla en todo el perímetroUn espacio abierto en la propiedad generalmente cubierto de césped', 'Mobiliario exterior', 'Hamaca', 'Comedor al aire libre', 'Barbacoa', 'Aparcamiento gratuito en las instalaciones', 'Aparcamiento gratuito en la calle', 'Cargador para coches eléctricosLos huéspedes pueden cargar sus vehículos eléctricos en la propiedad', 'Apto para fumadores', 'Llegada autónoma', 'Caja de seguridad para llaves', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Detector de humoDetector de humoNo hay detector de humo en la propiedad.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEl anfitrión ha indicado que no es necesario ningún detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con él.']"
238799,"['Vistas a la playa', 'Vistas al perfil urbano', 'Vistas al mar', 'Vistas a la montaña', 'Secador de pelo', 'Champú', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Plancha', 'Aire acondicionado', 'Calefacción', 'Detector de humo', 'Detector de monóxido de carbono', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Lavavajillas', 'Fogón', 'Cafetera', 'Acceso a la playa, primera líneaLos huéspedes pueden disfrutar de una playa cercana', 'Patio o balcón (Compartida)', 'Patio traseroUn espacio abierto en la propiedad generalmente cubierto de césped', 'Aparcamiento gratuito en la calle', 'AscensorEl alojamiento o edificio dispone de un ascensor de al menos 132\xa0centímetros de profundidad cuya puerta mide como mínimo 81\xa0centímetros de ancho.', 'Aparcamiento de pago fuera de las instalaciones', 'Recepción por parte del anfitrión', 'No disponible: TVTV', 'No disponible: SecadoraSecadora']"
291211,"['Vistas al perfil urbano', 'Bañera', 'Secador de pelo', 'Productos de limpieza', 'Champú', 'Gel de ducha', 'Bidé', 'Ducha exterior', 'Agua caliente', 'Gel de ducha', 'Lavadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Caja fuerte', 'Mosquitera', 'Espacio para guardar la ropa: armario', 'Conexión Ethernet', 'Televisión de alta definición de 32\xa0pulgadas con televisión por cable estándar', 'Sistema de sonido', 'Libros y material de lectura', 'Cuna', 'Parque/cunas de viaje', 'Libros y juguetes para niños', 'Trona', 'Bañera para bebés', 'Platos y cubiertos para niños', 'Mesa para cambiar pañales', 'Seguros para ventanas', 'Protectores de enchufes', 'Juegos de mesa', 'Barreras de seguridad para bebés', 'Aire acondicionado centralizado', 'Ventiladores portátiles', 'Calefacción', 'Detector de humo', 'Detector de monóxido de carbono', 'Extintor de incendios', 'Botiquín', 'Wifi', 'Zona para trabajarEn una zona común', 'Wifi móvil', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Cocina eléctrica de acero inoxidable de Bosch', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Bandeja de repostería', 'Batidora', 'Utensilios de barbacoaParrilla, carbón, brochetas de bambú/hierro, etc.', 'Mesa de comedor', 'Panificadora', 'CostaJusto al lado de una masa de agua', 'Acceso compartido a la playaLos huéspedes pueden disfrutar de una playa cercana', 'Entrada independienteEntrada por otra calle o edificio', 'Patio o balcón (privada)', 'Mobiliario exterior', 'Comedor al aire libre', 'Barbacoa', 'Atracadero para barcos', 'Aparcamiento gratuito en las instalaciones', 'Aparcamiento gratuito en la calle', 'Alojamiento de una alturaAlojamiento sin escaleras', 'Admite mascotasLos animales de asistencia siempre están permitidos', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Llegada autónoma', 'Caja de seguridad para llaves', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora']"
328541,"['Vistas al patio', 'Vistas al perfil urbano', 'Secador de pelo', 'Agua caliente', 'Gel de ducha', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Espacio para guardar la ropa: armario', 'Televisión con televisión por cable estándar', 'Libros y material de lectura', 'Cuna', 'Parque/cunas de viaje', 'Trona', 'Sistema de aire acondicionado sin conductos tipo split', 'Calefacción', 'Extintor de incendios', 'Botiquín', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Lavavajillas', 'Cocina eléctrica', 'Horno', 'Cafetera', 'Copas de vino', 'Mesa de comedor', 'Entrada independienteEntrada por otra calle o edificio', 'Patio o balcón (privada)', 'Patio trasero privado: Con valla en todo el perímetroUn espacio abierto en la propiedad generalmente cubierto de césped', 'Brasero exterior', 'Mobiliario exterior', 'Comedor al aire libre', 'Barbacoa', 'Tumbonas', 'Piscina De uso privado', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Recepción por parte del anfitrión', 'No disponible: Cámaras de seguridad en los exteriores de la propiedadCámaras de seguridad en los exteriores de la propiedad', 'No disponible: SecadoraSecadora', 'No disponible: Detector de humoDetector de humoNo hay detector de humo en la propiedad.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEl anfitrión ha indicado que no es necesario ningún detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con él.']"
351320,
441930,"['Secador de pelo', 'Agua caliente', 'Lavadora', 'Secadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Plancha', 'Televisión con televisión por cable estándar', 'Cuna', 'Trona', 'Chimenea interior', 'Calefacción', 'Extintor de incendios', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Lavavajillas', 'Fogón', 'Horno', 'Cafetera', 'Acceso a la playa, primera líneaLos huéspedes pueden disfrutar de una playa cercana', 'Patio o balcón (privada)', 'Patio traseroUn espacio abierto en la propiedad generalmente cubierto de césped', 'Aparcamiento gratuito en la calle', 'Piscina De uso privado', 'Jacuzzi privado', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'Apto para fumadores', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Recepción por parte del anfitrión', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
441953,"['Secador de pelo', 'Champú', 'Agua caliente', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Persianas o cortinas opacas', 'Plancha', 'Conexión Ethernet', 'TV', 'Sistema de aire acondicionado sin conductos tipo split', 'Cámaras de seguridad en los exteriores de la propiedadCámara de seguridad en la entrada apuntando a la puerta de acceso de la vivienda.Está simplemente preparada para tomar imágenes cuando la puerta se abre con la finalidad de detectar intrusos en la vivienda.The camera is in the entrance and is just to ready to take pictures when the door is opening', 'Detector de humo', 'Detector de monóxido de carbono', 'Extintor de incendios', 'Botiquín', 'Wifi', 'Zona para trabajarEn una habitación con puerta', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Lavavajillas', 'Fogón', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Acceso a la playa, primera líneaLos huéspedes pueden disfrutar de una playa cercana', 'Lavandería cercana', 'Aparcamiento gratuito en la calle', 'Aparcamiento de pago fuera de las instalaciones', 'Admite mascotasLos animales de asistencia siempre están permitidos', 'Disponible para estancias largasPermite estancias de 28 días o más', 'Recepción por parte del anfitrión', 'No disponible: SecadoraSecadora', 'No disponible: CalefacciónCalefacción']"
493832,"['Bañera', 'Secador de pelo', 'Agua caliente', 'Lavadora', 'Secadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Almohadas y mantas adicionales', 'Persianas o cortinas opacas', 'Plancha', 'Conexión Ethernet', 'Televisión con televisión por cable estándar', 'Piano', 'Cuna', 'Libros y juguetes para niños', 'Trona', 'Platos y cubiertos para niños', 'Chimenea interior', 'Calefacción', 'Botiquín', 'Wifi', 'Wifi móvil', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Lavavajillas', 'Fogón', 'Horno', 'Cafetera', 'Bandeja de repostería', 'Utensilios de barbacoaParrilla, carbón, brochetas de bambú/hierro, etc.', 'CostaJusto al lado de una masa de agua', 'Entrada independienteEntrada por otra calle o edificio', 'Patio o balcón', 'Patio traseroUn espacio abierto en la propiedad generalmente cubierto de césped', 'Barbacoa', 'Elementos básicos para la playaToallas de playa, sombrilla, esterilla, equipo de snorkel', 'Aparcamiento gratuito en la calle', 'Piscina', 'Admite mascotasLos animales de asistencia siempre están permitidos', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'Apto para fumadores', 'Disponible para estancias largasPermite estancias de 28 días o más', 'No disponible: Aire acondicionadoAire acondicionado', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
495837,"['Secador de pelo', 'Productos de limpieza', 'Agua caliente', 'Gel de ducha', 'Lavadora', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Ropa de cama', 'Persianas o cortinas opacas', 'Plancha', 'Trona', 'Chimenea interior', 'Calefacción', 'Detector de humo', 'Detector de monóxido de carbono', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Lavavajillas', 'Fogón', 'Cafetera', 'Patio o balcón (Compartida)', 'Patio traseroUn espacio abierto en la propiedad generalmente cubierto de césped', 'Mobiliario exterior', 'Barbacoa', 'Aparcamiento gratuito en las instalaciones', 'Se permite dejar el equipajeOpción de llegar pronto o salir tarde para la comodidad de los huéspedes', 'Recepción por parte del anfitrión', 'No disponible: TVTV', 'No disponible: SecadoraSecadora', 'No disponible: Aire acondicionadoAire acondicionado']"
503803,"['Secador de pelo', 'Productos de limpieza', 'Agua caliente', 'Lavadora', 'Secadora en el alojamiento (Gratis)', 'Servicios básicosToallas, sábanas, jabón y papel higiénico', 'Perchas', 'Persianas o cortinas opacas', 'Plancha', 'Tendedero para ropa', 'Televisión de alta definición', 'Cuna: disponible previa solicitud', 'Trona', 'Bañera para bebés', 'Aire acondicionado', 'Calefacción', 'Extintor de incendios', 'Wifi', 'CocinaCocina disponible para el uso de los huéspedes', 'Frigorífico', 'Microondas', 'Utensilios básicos de cocinaCazuelas y sartenes, aceite, sal y pimienta', 'Platos y cubiertosCuencos, palillos, platos, tazas, etc.', 'Congelador', 'Lavavajillas', 'Fogón', 'Horno', 'Hervidor de agua', 'Cafetera', 'Copas de vino', 'Tostadora', 'Mesa de comedor', 'Patio o balcón', 'Aparcamiento de pago en garaje fuera de la propiedad', 'No disponible: Detector de humoDetector de humoEs posible que este espacio no tenga un detector de humo. Si tienes alguna pregunta, ponte en contacto con el anfitrión.', 'No disponible: Detector de monóxido de carbonoDetector de monóxido de carbonoEs posible que este espacio no tenga un detector de monóxido de carbono. Si tienes alguna pregunta, ponte en contacto con el anfitrión.']"
