ID,Tipo de habitación,Título,Tipología,Ciudad,Municipio,Localización,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
00000000000000178456,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,"39.82338,3.11353",,,,4.44,62,2,1,2,4
00000000000000238799,"Alojamiento entero: piso en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.56466,2.66164",,,,4.63,111,1,1,1,2
00000000000000291211,"Alojamiento entero: adosado en Balearic Islands, España",Alojamiento entero,Alojamiento,Mallorca,Balearic Islands,"39.76381,3.15481",,153,153,4.77,81,3,1,5,6
00000000000000328541,"Alojamiento entero: adosado en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,"39.581,2.6649",,200,200,4.79,320,1,1,1,2
00000000000000351320,"Alojamiento entero: piso en Alcúdia, España",Alojamiento entero,Alojamiento,Mallorca,Alcúdia,,,100,100,4.64,105,1,1,2,4
00000000000000441930,"Alojamiento entero: adosado en Muro, España",Alojamiento entero,Alojamiento,Mallorca,Muro,"39.80144,3.11662",,,,4.91,34,4,2,6,8
00000000000000493832,Alojamiento entero: chalet en España,Alojamiento entero,Alojamiento,Mallorca,,"39.57488,3.37474",,185,185,4.87,15,3,2,4,8
00000000000000495837,"Alojamiento entero: piso en Calvià, España",Alojamiento entero,Alojamiento,Mallorca,Calvià,"39.58225,2.46853",,167,167,5.0,5,2,2,3,4
00000000000000548218,"Alojamiento entero: piso en Palma de Mallorca, España",Alojamiento entero,Alojamiento,Mallorca,Palma de Mallorca,,,,,4.74,528,2,1,2,4
00000000000000603924,"Alojamiento entero: loft en Calvià, España",Alojamiento entero,Alojamiento,Mallorca,Calvià,"39.51934,2.48038",195,195,195,,,2,5,3,4
00000000000000612483,"Habitación en Palma de Mallorca, España",Habitación,Habitación,Mallorca,Palma de Mallorca,"39.57579,2.64799",,,,4.72,109,1,1,1,
