ID,Tipo de habitación,Ciudad,Localización,Precio por noche Octubre,Precio por noche Agosto,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
1148493583486283660,"Alojamiento entero: piso en València, España",Valencia,"39.458739,-0.369921",No disponible en Octubre,162 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
37206278,"Habitación privada en: casa de invitados en Valencia, España",Valencia,"39.48659,-0.39257",No disponible en Octubre,No disponible en Agosto,"4,71",178 evaluaciones,1 dormitorio,baño compartido,1 cama,1 viajero
53928114,"Alojamiento entero: piso en València, España",Valencia,"39.4781,-0.377",95 €,96 €,"4,74",91 evaluaciones,1 dormitorio,1 baño,1 cama,2 viajeros
23468021,"Alojamiento entero: piso en València, España",Valencia,"39.46671,-0.36477",75 €,123 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,5 baños,2 camas,3 viajeros
1116779529373427744,"Alojamiento entero: loft en València, España",Valencia,"39.45274,-0.33414",90 €,122 €,"4,67",6 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
49123384,"Alojamiento entero: piso en València, España",Valencia,"39.47241,-0.37758",108 €,No disponible en Agosto,"4,75",160 evaluaciones,1 dormitorio,1 baño,2 camas,4 viajeros
1132548145524532319,"Alojamiento entero: vivienda en València, España",Valencia,"39.4724,-0.3589",No disponible en Octubre,212 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,1 baño,3 camas,6 viajeros
17964351,"Alojamiento entero: piso en València, España",Valencia,"39.48434,-0.37887",No disponible en Octubre,125 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,2 viajeros
33014350,"Alojamiento entero: piso en València, España",Valencia,"39.44904,-0.33132",93 €,No disponible en Agosto,"4,76",191 evaluaciones,3 dormitorios,1 baño,4 camas,4 viajeros
964671060876355943,"Habitación en València, España",Valencia,"39.4685,-0.3846",30 €,No disponible en Agosto,"4,36",58 evaluaciones,1 dormitorio,baño compartido,1 cama,No especificado
1141769657254809937,"Alojamiento entero: piso en València, España",Valencia,"39.458097,-0.369908",117 €,No disponible en Agosto,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,1 baño,2 camas,4 viajeros
20747965,"Alojamiento entero: piso en València, España",Valencia,"39.461,-0.3424",No disponible en Octubre,No disponible en Agosto,"4,45",555 evaluaciones,3 dormitorios,1 baño,3 camas,4 viajeros
1007818095530221687,"Alojamiento entero: piso en Alboraia, España",Valencia,"39.496709,-0.35209",95 €,125 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,No especificado,4 viajeros
4216011,"Alojamiento entero: piso en València, España",Valencia,"39.47308,-0.37929",No disponible en Octubre,No disponible en Agosto,"4,85",641 evaluaciones,2 dormitorios,1 baño,4 camas,5 viajeros
957097411703591681,"Habitación en València, España",Valencia,"39.44995,-0.3788",60 €,60 €,Nuevo,2 evaluaciones,1 dormitorio,· baño privado en la habitación,1 cama,No especificado
1145727497712067411,"Alojamiento entero: piso en València, España",Valencia,"39.459729,-0.371943",No disponible en Octubre,179 €,Nuevo,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,3 camas,6 viajeros
772115984228382656,"Habitación en València, España",Valencia,"39.45901,-0.34064",50 €,50 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,1 dormitorio,baño compartido,1 cama,No especificado
1112367303979109669,"Habitación en Valencia, España",Valencia,"39.453194,-0.383261",No disponible en Octubre,No disponible en Agosto,Nuevo,1 evaluación,1 dormitorio,Sin baños,1 cama,No especificado
31461233,"Habitación en València, España",Valencia,"39.4886,-0.37339",No disponible en Octubre,70 €,"4,94",67 evaluaciones,1 dormitorio,· baño privado en el alojamiento,1 cama,No especificado
44516653,"Alojamiento entero: apto. residencial en Port Sa Platja, España",Valencia,"39.51384,-0.32062",150 €,295 €,Sin valoraciones,Mostrar másMostrar más. Abre el perfil del anfitrión.,2 dormitorios,2 baños,2 camas,4 viajeros
