ID,Tipo de habitación,Título,Tipología,Ciudad,Localización,Municipio,Precio por noche Agosto,Precio por noche Octubre,Precio Medio,Valoración,Numero valoraciones,Dormitorios,Baños,Camas,Viajeros máximos
01148493583486283660,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.458739,-0.369921",Valncia,162,,162,,,1,1,2,4
00000000000037206278,"Habitación privada en: casa de invitados en Valencia, España",Habitación privada en,Habitación,Valencia,"39.48659,-0.39257",Valencia,,,,4.71,178,1,1,1,1
00000000000053928114,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.4781,-0.377",Valncia,96,95,96,4.74,91,1,1,1,2
00000000000023468021,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.46671,-0.36477",Valncia,123,75,99,,,2,5,2,3
01116779529373427744,"Alojamiento entero: loft en València, España",Alojamiento entero,Alojamiento,Valencia,"39.45274,-0.33414",Valncia,122,90,106,4.67,6,1,1,2,4
00000000000049123384,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.47241,-0.37758",Valncia,,108,108,4.75,160,1,1,2,4
01132548145524532319,"Alojamiento entero: vivienda en València, España",Alojamiento entero,Alojamiento,Valencia,"39.4724,-0.3589",Valncia,212,,212,,,2,1,3,6
00000000000017964351,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.48434,-0.37887",Valncia,125,,125,,,1,1,2,2
00000000000033014350,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.44904,-0.33132",Valncia,,93,93,4.76,191,3,1,4,4
00964671060876355943,"Habitación en València, España",Habitación,Habitación,Valencia,"39.4685,-0.3846",Valncia,,30,30,4.36,58,1,1,1,
01141769657254809937,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.458097,-0.369908",Valncia,,117,117,,,1,1,2,4
00000000000020747965,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.461,-0.3424",Valncia,,,,4.45,555,3,1,3,4
01007818095530221687,"Alojamiento entero: piso en Alboraia, España",Alojamiento entero,Alojamiento,Valencia,"39.496709,-0.35209",Alboraia,125,95,110,,,2,2,,4
00000000000004216011,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.47308,-0.37929",Valncia,,,,4.85,641,2,1,4,5
00957097411703591681,"Habitación en València, España",Habitación,Habitación,Valencia,"39.44995,-0.3788",Valncia,60,60,60,,2,1,1,1,
01145727497712067411,"Alojamiento entero: piso en València, España",Alojamiento entero,Alojamiento,Valencia,"39.459729,-0.371943",Valncia,179,,179,,,2,2,3,6
00772115984228382656,"Habitación en València, España",Habitación,Habitación,Valencia,"39.45901,-0.34064",Valncia,50,50,50,,,1,1,1,
01112367303979109669,"Habitación en Valencia, España",Habitación,Habitación,Valencia,"39.453194,-0.383261",Valencia,,,,,1,1,1,1,
